cluster_name	latent_residual_delta_beta	observed_minus_strict_pred_delta_beta	strict_model_delta_beta_8cell_to_morula	abs_latent_residual_delta_beta	signed_latent_residual_direction	PC_loading_norm	PC1_loading	residual_contribution_PC1	PC2_loading	residual_contribution_PC2	PC3_loading	residual_contribution_PC3	residual_alignment_score	abs_residual_alignment_score	module_id	module_index	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr	basin_residual_rank	overlap_public_chromatin	public_accessibility_morula_max	public_accessibility_morula_minus_8cell
cluster_2623	-0.1966477625952775	-0.0613144088378704	0.0613144088378704	0.1966477625952775	-1.0	0.28808820003167857	0.02771104515228057	-0.02193075612017144	0.12606026236479478	-0.004266944418545365	0.2575572154426659	-0.4938683407378922	0.012057341312819323	0.012057341312819323	M05	5	age_DMR	age_DMR	cluster_2623	chr15	37190548	37190694	147	2	0.033252448	1	False		
cluster_6262	-0.1912454605053165	-0.22329559998725115	0.14720132389297508	0.1912454605053165	-1.0	0.22489344098978	0.16323476838615095	-0.1291853799139269	0.027858185218481726	-0.0009429563741888623	0.15216895776233758	-0.2917853827264619	0.042704269848372785	0.042704269848372785	M10	10	age_DMR	age_DMR	cluster_6262	chr6	31628935	31629199	265	3	-0.037492605	2	True	0.050379367	-0.986835692
cluster_6892	-0.1797887109823562	-0.10137309368940643	0.05692864924496201	0.1797887109823562	-1.0	0.2732296217193122	0.02756104497492626	-0.021812044707828014	0.16449784235398013	-0.005567996901861862	0.2164145901866453	-0.4149769766040267	0.018225737842712014	0.018225737842712014	M05	5	age_DMR	age_DMR	cluster_6892	chr7	37947051	37947061	11	2	0.024035571000000002	3	True	1.056105408	1.787382464
cluster_5678	-0.16456915596653188	0.28924559652860776	0.35522997147637203	0.16456915596653188	-1.0	0.2093552302740936	0.11177719411953088	-0.08846141928467648	0.06032348701886681	-0.0020418565011191933	0.16642279961522116	-0.3191172562013519	-0.047600903687749004	0.047600903687749004	M10	10	age_DMR	age_DMR	cluster_5678	chr4	186425697	186425754	58	3	0.066265623	4	True	1.968560645	-0.04771508300000016
cluster_3275	-0.1422064863349969	-0.09822141211861564	0.031554745451948966	0.1422064863349969	-1.0	0.26474802434809025	0.007914545062071258	-0.0062636380766066925	0.13764288896531565	-0.004658998369553085	0.2260161752838925	-0.4333881047577504	0.013967721900250016	0.013967721900250016	M05	5	age_DMR	age_DMR	cluster_3275	chr17	10421635	10422077	443	3	0.045068689	5	True	1.897721177	-0.160795279
cluster_4373	-0.13619483090728782	-0.43386433690932297	-0.03814624510125908	0.13619483090728782	-1.0	0.18891147269633235	0.11494542324452615	-0.09096878268043698	0.04408814455592173	-0.0014923153324282524	0.14328757692504265	-0.27475525289671704	0.0590900800020678	0.0590900800020678	M01	1	age_DMR	age_DMR	cluster_4373	chr2	49382159	49382401	243	3	0.049797989	6	True	0.278580475	-0.09001913
cluster_4141	-0.13453149715980126	-0.3230115427412089	-0.16958104985138367	0.13453149715980126	-1.0	0.2111363148294088	0.07322648482591007	-0.057952061043872426	0.0994110778807558	-0.0033649108446035724	0.1712713138688738	-0.3284143270886106	0.043455226444871965	0.043455226444871965	M05	5	age_DMR	age_DMR	cluster_4141	chr19	51858208	51858276	69	2	-0.044835745999999996	7	True	1.9761779519999998	-0.16779381200000043
cluster_7042	-0.12979276926158487	0.05353087377873125	0.06035801511015764	0.12979276926158487	-1.0	0.24265012633901964	0.02995883673637912	-0.02370967744085581	0.10590087546106053	-0.003584580429953444	0.21625576637474	-0.4146724304769826	-0.006947920348733889	0.006947920348733889	M05	5	age_DMR	age_DMR	cluster_7042	chr7	108168130	108168721	592	3	0.0377521	8	True	2.3353778999999997	0.15849809599999976
cluster_4605	-0.12455720559417552	0.06658549947794262	0.033414500522057355	0.12455720559417552	-1.0	0.21108462606738565	0.17821551432243074	-0.14104126928299907	0.06642364860861591	-0.0022483375123381107	0.09156335905982596	-0.17557358714856292	-0.008293703748064965	0.008293703748064965	M01	1	age_DMR	age_DMR	cluster_4605	chr2	227288327	227288518	192	2	0.049177448	9	True	1.962360609	-0.06632165599999995
cluster_6498	0.12336847335978415	0.6839411513095702	-0.18394115130957026	0.12336847335978415	1.0	0.2341773019090066	0.05614889224102046	-0.04443670945605836	-0.009762612328246163	0.0003304492899109313	-0.22713652729144354	0.435536390085578	0.08437677570499481	0.08437677570499481	M12	12	age_DMR	age_DMR	cluster_6498	chr6	132931714	132931736	23	2	0.017322151	10	True	1.302369181	-0.5061625949999999
