chr	start	end	cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	hESC_beta	hESC_total	hTSC_beta	hTSC_total	tdhTSC_beta	tdhTSC_total	hTSC_minus_hESC_beta	tdhTSC_minus_hESC_beta
chr15	37190548	37190694	cluster_2623	1	-0.1966477625952775	M05	1.0	1	0.9166666666666666	12	0.35714285714285715	14	-0.08333333333333337	-0.6428571428571428
chr6	31628935	31629199	cluster_6262	2	-0.1912454605053165	M10	0.9230769230769231	13	0.75	24	0.7619047619047619	21	-0.17307692307692313	-0.16117216117216127
chr7	37947051	37947061	cluster_6892	3	-0.1797887109823562	M05		0		0		0		
chr4	186425697	186425754	cluster_5678	4	-0.1645691559665318	M10		0		0		0		
chr17	10421635	10422077	cluster_3275	5	-0.1422064863349969	M05	0.9523809523809523	21	0.0	28	0.0	20	-0.9523809523809523	-0.9523809523809523
chr2	49382159	49382401	cluster_4373	6	-0.1361948309072878	M01		0		0		0		
chr19	51858208	51858276	cluster_4141	7	-0.1345314971598012	M05	0.3333333333333333	3	0.0	10	0.18181818181818182	11	-0.3333333333333333	-0.1515151515151515
chr7	108168130	108168721	cluster_7042	8	-0.1297927692615848	M05	0.875	16	0.23214285714285715	56	0.3018867924528302	53	-0.6428571428571428	-0.5731132075471699
chr2	227288327	227288518	cluster_4605	9	-0.1245572055941755	M01	1.0	10	0.2	25	0.07142857142857142	14	-0.8	-0.9285714285714286
chr6	132931714	132931736	cluster_6498	10	0.1233684733597841	M12		0		0		0		
chr15	96894342	96894509	cluster_2743	11	-0.1179709977870684	M07	0.8947368421052632	19	0.5714285714285714	42	0.8301886792452831	53	-0.32330827067669177	-0.06454816285998011
chr7	76828885	76829845	cluster_6960	12	-0.1150872869677093	M01	1.0	16	0.0	35	0.061224489795918366	49	-1.0	-0.9387755102040817
chr12	11151430	11151622	cluster_1742	13	0.1109335240179164	M08	1.0	2	0.7777777777777778	9	0.8571428571428571	14	-0.2222222222222222	-0.1428571428571429
chr6	168963358	168963731	cluster_6655	14	-0.1006123569637234	M01	0.8333333333333334	6	0.0625	16	0.0	20	-0.7708333333333334	-0.8333333333333334
chr2	74607470	74607600	cluster_4404	15	-0.0972246935380607	M01	0.95	20	0.7857142857142857	14	0.90625	32	-0.16428571428571426	-0.043749999999999956
chr1	198828060	198828249	cluster_543	16	0.0903190284088766	M08	1.0	7	0.18181818181818182	11	0.34375	32	-0.8181818181818181	-0.65625
chr19	39806522	39806765	cluster_4026	17	0.0834739790170535	M03	0.972972972972973	37	0.4857142857142857	105	0.5196078431372549	102	-0.4872586872586873	-0.4533651298357181
chr21	31661731	31661998	cluster_4904	18	0.079519979974636	M12	0.9333333333333333	30	0.0	37	0.013513513513513514	74	-0.9333333333333333	-0.9198198198198199
chr6	168867541	168867685	cluster_6651	19	-0.0778453896585507	M01	1.0	17	0.6842105263157895	19	0.6714285714285714	70	-0.3157894736842105	-0.3285714285714286
chr5	120191823	120192115	cluster_5923	20	0.0774541554875099	M09	1.0	6	0.0	18	0.0	5	-1.0	-1.0
chr1	33231070	33231109	cluster_242	21	0.0773625907521746	M01		0		0		0		
chr6	2437142	2437147	cluster_6087	22	-0.0747346449206742	M10		0		0		0		
chr6	130182053	130182551	cluster_6495	23	0.074610828498747	M09	0.25	4	0.6111111111111112	18	0.1	10	0.36111111111111116	-0.15
chr7	132435910	132436239	cluster_7072	24	-0.0731353853165772	M01	0.9375	16	0.0	20	0.0	19	-0.9375	-0.9375
chr13	58299015	58299073	cluster_2190	25	0.0710896289019975	M12	0.5	6	0.07142857142857142	14	0.0	11	-0.4285714285714286	-0.5
chr1	213122829	213123025	cluster_587	26	-0.0693649918891212	M05		0		0		0		
chr1	6529710	6530205	cluster_125	27	-0.0639287189875389	M07	1.0	23	0.8205128205128205	39	0.9534883720930233	86	-0.17948717948717952	-0.046511627906976716
chr22	26829758	26830041	cluster_5002	28	-0.0620667827294791	M01	0.8571428571428571	14	0.038461538461538464	26	0.08571428571428572	35	-0.8186813186813187	-0.7714285714285714
chr1	236192895	236192973	cluster_643	29	0.0618002006883134	M13		0		0		0		
chr10	17347047	17347391	cluster_832	30	0.0616692971968747	M01	1.0	14	0.6511627906976745	43	0.5111111111111111	45	-0.34883720930232553	-0.48888888888888893
chr4	186427685	186427765	cluster_5679	31	-0.0613185877440524	M01	1.0	17	0.6410256410256411	39	0.52	25	-0.3589743589743589	-0.48
chr11	59824038	59824089	cluster_1387	32	0.0591703250537913	M12		0		0		0		
chr6	7248862	7248983	cluster_6114	33	-0.0590051237513787	M01	1.0	14	0.6571428571428571	35	0.8833333333333333	60	-0.34285714285714286	-0.1166666666666667
chr12	25801455	25801621	cluster_1764	34	-0.0569407704222629	M15	0.5	4	0.1111111111111111	9	0.5	10	-0.3888888888888889	0.0
chr4	177190237	177190421	cluster_5661	35	0.0516704121145394	M01		0		0		0		
chr7	94927713	94928249	cluster_6975	36	-0.0499656462751898	M03		0		0		0		
chr17	38911538	38911540	cluster_3348	37	0.047389319232879	M02		0		0		0		
chr5	147040667	147040773	cluster_5977	38	0.0462132483412721	M06	0.8571428571428571	14	0.047619047619047616	21	0.041666666666666664	24	-0.8095238095238095	-0.8154761904761905
chr21	32014696	32015231	cluster_4909	39	0.0455104341629634	M15	1.0	15	0.5119047619047619	84	0.39814814814814814	108	-0.48809523809523814	-0.6018518518518519
chr12	7188165	7188426	cluster_1718	40	0.0448208684134199	M00	0.8333333333333334	6	0.7142857142857143	28	0.6666666666666666	21	-0.11904761904761907	-0.16666666666666674
chr6	152702330	152702463	cluster_6532	41	0.0433800224032729	M09	1.0	3	0.125	8	0.5	10	-0.875	-0.5
chr14	24630327	24630512	cluster_2365	42	-0.0420659517157953	M07	1.0	3	0.0	5	0.0	9	-1.0	-1.0
chr12	20848285	20848473	cluster_1758	43	0.0414697851795486	M01		0		0		0		
chr6	167173257	167173343	cluster_6604	44	0.0406870160028717	M03	0.8333333333333334	6	0.07692307692307693	13	0.058823529411764705	17	-0.7564102564102564	-0.7745098039215687
chr17	76481380	76481729	cluster_3519	45	-0.0396155009392248	M01	0.9534883720930233	43	0.892018779342723	213	0.8981481481481481	108	-0.061469592750300284	-0.055340223944875144
chr10	74870240	74870311	cluster_916	46	0.0347796982761695	M02		0	0.0	2	0.25	4		
chr18	61817088	61817320	cluster_3684	47	0.0330316810641798	M02	0.8571428571428571	7	0.0	21	0.0	11	-0.8571428571428571	-0.8571428571428571
chr11	108408950	108408962	cluster_1556	48	-0.0326013937956062	M00		0		0		0		
chr6	25650786	25651144	cluster_6143	49	0.0324829247082393	M08	1.0	1	0.0	14	0.04	25	-1.0	-0.96
chr3	99904510	99904609	cluster_5240	50	0.0306570107148617	M06		0		0		0		
chr2	44502740	44502977	cluster_4364	51	0.0287617835195389	M04		0		0		0		
chr10	95123718	95123774	cluster_950	52	-0.0286656787681627	M03		0		0		0		
chr11	74978433	74978559	cluster_1523	53	0.0286577847525831	M06	1.0	8	0.7	10	0.9	10	-0.30000000000000004	-0.09999999999999998
chr21	31802169	31802829	cluster_4907	54	0.0281918746673707	M08	0.38461538461538464	13	0.0	45	0.0	60	-0.38461538461538464	-0.38461538461538464
chr18	28742633	28743074	cluster_3660	55	-0.0267335027684852	M04	0.0	2	0.0	9	0.0	15	0.0	0.0
chr22	46370644	46371152	cluster_5064	56	-0.0265140525538444	M07	0.9436619718309859	71	0.3313253012048193	166	0.6263736263736264	91	-0.6123366706261666	-0.3172883454573595
chr2	159651559	159651918	cluster_4532	57	0.0255573795701712	M13		0		0		0		
chr19	863226	863244	cluster_3762	58	0.0254792161705422	M07	0.6666666666666666	3	0.2	5	0.0	8	-0.4666666666666666	-0.6666666666666666
chr6	143929300	143929511	cluster_6518	59	0.0249569027227029	M04		0		0		0		
chr12	7032991	7033911	cluster_1715	60	-0.0242076987155792	M06	0.9230769230769231	26	0.09523809523809523	42	0.12195121951219512	41	-0.8278388278388279	-0.801125703564728
chr8	19460935	19461068	cluster_7425	61	0.0238933079941673	M01	1.0	16	0.13513513513513514	37	0.24	25	-0.8648648648648649	-0.76
chr11	44328423	44329915	cluster_1333	62	-0.023856994352479	M04	0.7848101265822784	79	0.04807692307692308	104	0.07258064516129033	124	-0.7367332035053553	-0.7122294814209881
chr5	126984765	126984994	cluster_5928	63	0.0236668655051044	M04		0		0		0		
chr12	1738035	1738060	cluster_1688	64	0.0232575833755816	M02		0		0		0		
chr3	63428234	63428840	cluster_5215	65	0.0225779114774131	M13	0.8461538461538461	13	0.037037037037037035	27	0.03125	32	-0.809116809116809	-0.8149038461538461
chr12	49371182	49371310	cluster_1806	66	0.0225683910443349	M06		0		0		0		
chr10	23287263	23287284	cluster_840	67	0.0225100814059266	M13		0		0		0		
chr16	685580	685686	cluster_2776	68	-0.0224303631697264	M14		0	0.9642857142857143	28	0.8571428571428571	21		
chr6	40359007	40359130	cluster_6406	69	0.0215921505818914	M02		0		0		0		
chr6	29555799	29556229	cluster_6171	70	0.0212502803673657	M04	0.9259259259259259	27	0.10810810810810811	74	0.13513513513513514	74	-0.8178178178178178	-0.7907907907907907
chr13	114865944	114866221	cluster_2324	71	0.0206743665662644	M14		0		0		0		
chr13	22058122	22058128	cluster_2126	72	0.020437472066274	M02		0		0		0		
chr16	88717755	88717989	cluster_3133	73	-0.0204314138955557	M14	1.0	9	0.7083333333333334	24	0.8333333333333334	24	-0.29166666666666663	-0.16666666666666663
chr10	74714308	74714935	cluster_915	74	-0.0199935342096491	M07	1.0	11	0.88	25	0.8181818181818182	22	-0.12	-0.18181818181818177
chr21	39627271	39628679	cluster_4920	75	0.0196173272824462	M13	0.863013698630137	73	0.12727272727272726	165	0.16908212560386474	207	-0.7357409713574097	-0.6939315730262723
chr19	47745212	47745582	cluster_4084	76	-0.0195509484423129	M04	0.0	86	0.0	110	0.0072992700729927005	137	0.0	0.0072992700729927005
chr1	234293071	234293143	cluster_634	77	0.0191270264069371	M13		0		0		0		
chr2	102607750	102607752	cluster_4449	78	0.0189100674522665	M13		0		0		0		
chr17	4486580	4486934	cluster_3227	79	0.0182982290311602	M00	1.0	31	0.48936170212765956	47	0.46296296296296297	54	-0.5106382978723405	-0.537037037037037
chr1	158670124	158670617	cluster_483	80	-0.0182694894255372	M11	0.8	5	0.0	7	0.0	11	-0.8	-0.8
chr11	117688335	117688338	cluster_1586	81	0.0172386176409699	M00		0		0		0		
chr12	124763658	124763800	cluster_2004	82	0.0160837424277074	M11	1.0	7	0.19047619047619047	21	0.5384615384615384	26	-0.8095238095238095	-0.46153846153846156
chr22	31518860	31518963	cluster_5020	83	-0.0153864516463316	M00	0.6666666666666666	3	0.7058823529411765	17	0.8666666666666667	30	0.03921568627450989	0.20000000000000007
chr20	62574023	62574518	cluster_4889	84	-0.0150375801511645	M01	1.0	8	0.0	17	0.05	20	-1.0	-0.95
chr4	15341641	15341878	cluster_5516	85	0.0145793093893729	M07	1.0	4	0.3076923076923077	26	0.375	40	-0.6923076923076923	-0.625
chr19	1065688	1065728	cluster_3766	86	0.0144981483232047	M14	0.7142857142857143	7	0.0	17	0.037037037037037035	27	-0.7142857142857143	-0.6772486772486772
chr4	106472990	106473806	cluster_5599	87	0.014392782084662	M06	0.7037037037037037	27	0.14035087719298245	57	0.30952380952380953	42	-0.5633528265107213	-0.3941798941798942
