cluster_name	max_velocity	morula_entry_velocity	blastocyst_exit_velocity	morula_acceleration	prediction_importance_abs_coef_m_j	reset_dynamic_score	beta_8cell	beta_morula	beta_blastocyst	velocity_MII_oocyte_to_zygote_PN	velocity_zygote_PN_to_2-cell	velocity_2-cell_to_4-cell	velocity_4-cell_to_8-cell	velocity_8-cell_to_morula	velocity_morula_to_blastocyst	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr	dynamic_rank
cluster_916	6.0	6.0	-6.0	-72.0	8.71090488601494	44.17772622150373	0.0	1.0	0.0	-0.05555555555555555	0.30000000000000004	-0.26	-0.04	6.0	-6.0	age_DMR	age_DMR	cluster_916	chr10	74870240	74870311	72	2	-0.025276367	1
cluster_5252	6.0	-0.13333333333333336	6.0	36.8	5.096576396375531	19.807477432427213	0.022222222222222223	0.0	1.0	0.2	-0.2	1.62	-1.4866666666666668	-0.13333333333333336	6.0	age_DMR	age_DMR	cluster_5252	chr3	114036607	114036631	25	2	0.01909685	20
cluster_3348	6.0	5.846153846153847	-6.0	-71.07692307692308	8.06499744554663	43.40086474600204	0.02564102564102564	1.0	0.0	0.15000000000000002	-0.4	0.16	-0.006153846153846149	5.846153846153847	-6.0	age_DMR	age_DMR	cluster_3348	chr17	38911538	38911540	3	2	0.023898612	2
cluster_6498	5.828571428571429	3.0	-5.828571428571429	-52.971428571428575	7.017405153229162	31.24006557402158	0.5	1.0	0.02857142857142857	-3.0	0.30000000000000004	-0.30000000000000004	3.0	3.0	-5.828571428571429	age_DMR	age_DMR	cluster_6498	chr6	132931714	132931736	23	2	0.017322151	6
cluster_5977	5.730909090909091	5.591854469590602	-5.730909090909091	-67.93658136299815	7.876043303880419	41.52915597705978	0.06802425506823308	1.0	0.044848484848484846	0.19053140096618357	-0.13878151342682235	-0.08350124729072088	0.16434133460520264	5.591854469590602	-5.730909090909091	age_DMR	age_DMR	cluster_5977	chr5	147040667	147040773	107	3	0.060793808	3
cluster_5215	5.522405372405373	5.522405372405373	-4.5	-60.13443223443223	6.980352535519803	37.334709623501446	0.07959910459910459	1.0	0.25	0.3339285714285715	0.3096969696969698	-0.29007792207792227	-0.2586910866910867	5.522405372405373	-4.5	age_DMR	age_DMR	cluster_5215	chr3	63428234	63428840	607	3	0.019791166	4
cluster_4026	5.4	3.7600000000000002	-4.32	-48.480000000000004	8.262710260190826	30.06567756504771	0.3733333333333333	1.0	0.27999999999999997	-5.4	4.800000000000001	-0.06000000000000005	-3.1000000000000005	3.7600000000000002	-4.32	age_DMR	age_DMR	cluster_4026	chr19	39806522	39806765	244	2	-0.028841341	7
cluster_4532	5.667474747474748	5.667474747474748	-4.2	-59.20484848484849	6.947191536712622	37.00669687407714	0.055420875420875426	1.0	0.3	0.7928937728937729	0.14214285714285707	-0.437369337979094	-0.17796255235279623	5.667474747474748	-4.2	age_DMR	age_DMR	cluster_4532	chr2	159651559	159651918	360	3	0.015502877	5
cluster_4538	5.76	0.0	-4.050000000000001	-24.300000000000004	5.593567937047523	13.548391984261883	1.0	1.0	0.325	-0.15000000000000013	-3.75	-1.86	5.76	0.0	-4.050000000000001	age_DMR	age_DMR	cluster_4538	chr2	167168604	167168852	249	2	0.027143405	32
cluster_1976	4.206666666666667	0.4333333333333331	-4.000000000000001	-26.6	5.685935706243895	15.154817259894308	0.9277777777777778	1.0	0.3333333333333333	-0.6666666666666663	-2.1071428571428577	-1.5328571428571425	4.206666666666667	0.4333333333333331	-4.000000000000001	age_DMR	age_DMR	cluster_1976	chr12	120242490	120242513	24	2	-0.025163308	29
