cluster_name	chr	start	end	cpg_list	n_cpg_listed	age_weight_5yr	age_weight_per_year	exposure_pvalue.y	exposure_padjusted.y	n_sites_in_cluster.y
cluster_3123	chr16	88165722	88165938	;cg00416945;cg00659029	2	0.029691182	0.0059382364	2.22e-15	8.63e-12	2
cluster_840	chr10	23287263	23287284	;cg05270617;cg10971559	2	0.08106502	0.016213004	2.22e-15	8.63e-12	2
cluster_7052	chr7	121651766	121652024	;cg12055258;cg07132005;cg03995555;cg09657435	4	0.031851411	0.006370282200000001	1.32e-11	3.43e-08	4
cluster_915	chr10	74714308	74714935	;cg10410852;cg21820890;cg10842126;cg02044879	4	0.034264481	0.0068528962	2.17e-11	4.21e-08	4
cluster_5923	chr5	120191823	120192115	;cg12178456;cg12202847	2	0.033485903	0.0066971806	3.29e-11	5.11e-08	2
cluster_4026	chr19	39806522	39806765	;cg18592745;cg00471142	2	-0.028841341	-0.0057682682	8.42e-11	1.09e-07	2
cluster_2190	chr13	58299015	58299073	;cg07629125;cg24586528	2	0.067321522	0.013464304399999998	1.64e-10	1.59e-07	2
cluster_483	chr1	158670124	158670617	;cg00119186;cg03002968;cg02245566	3	0.025181528	0.005036305600000001	1.51e-10	1.59e-07	3
cluster_3519	chr17	76481380	76481729	;cg00093095;cg24801087	2	0.033654647	0.0067309294	2.28e-10	1.61e-07	2
cluster_4028	chr19	40005557	40005602	;cg10092241;cg18097850	2	-0.005814663	-0.0011629326	2.21e-10	1.61e-07	2
cluster_4364	chr2	44502740	44502977	;cg02192965;cg03217954	2	0.050410937	0.010082187400000001	1.9e-10	1.61e-07	2
cluster_2776	chr16	685580	685686	;cg04636834;cg20319926	2	-0.057703016	-0.011540603200000001	2.8e-10	1.81e-07	2
cluster_1387	chr11	59824038	59824089	;cg13321166;cg03348161	2	0.027980847	0.0055961694	4.09e-10	2.44e-07	2
cluster_6975	chr7	94927713	94928249	;cg22798737;cg09416203	2	0.037164296	0.0074328592	6.18e-10	3.43e-07	2
cluster_5516	chr4	15341641	15341878	;cg24829483;cg00076653	2	0.020991971	0.0041983942	7.06e-10	3.66e-07	2
cluster_1007	chr10	116444240	116444463	;cg12614090;cg04508114;cg01185921	3	0.020471085	0.004094217	9.67e-10	4.17e-07	3
cluster_6892	chr7	37947051	37947061	;cg13400306;cg23169784	2	0.024035571	0.0048071141999999996	9.5e-10	4.17e-07	2
cluster_7341	chr8	1563040	1563113	;cg22385595;cg25449412	2	0.071478852	0.0142957704	9.35e-10	4.17e-07	2
cluster_6171	chr6	29555799	29556229	;cg05009707;cg11629449;cg22814023;cg06434255	4	0.026677932	0.0053355864	1.15e-09	4.46e-07	4
cluster_6532	chr6	152702330	152702463	;cg00041666;cg07604117;cg19827346;cg20187047;cg13806292	5	0.037280463	0.0074560926	1.13e-09	4.46e-07	5
cluster_2365	chr14	24630327	24630512	;cg04260516;cg11065693;cg19556208;cg13809864;cg23327992;cg11022340	6	-0.041337281	-0.008267456199999999	1.27e-09	4.68e-07	6
cluster_3133	chr16	88717755	88717989	;cg19790294;cg03870138;cg27176614	3	-0.018315712	-0.0036631424000000004	2.41e-09	7.82e-07	3
cluster_3336	chr17	37764503	37764802	;cg06865992;cg22534110;cg08348709	3	-0.010225803	-0.0020451606	2.35e-09	7.82e-07	3
cluster_4904	chr21	31661731	31661998	;cg10626682;cg24145481	2	0.033716782	0.0067433564	2.31e-09	7.82e-07	2
cluster_3762	chr19	863226	863244	;cg02534744;cg08164326	2	-0.027459185	-0.005491837	3.14e-09	9.76e-07	2
cluster_1523	chr11	74978433	74978559	;cg14776050;cg09403933	2	0.066262174	0.013252434799999999	3.94e-09	1.18e-06	2
cluster_3348	chr17	38911538	38911540	;cg22983092;cg18901980	2	0.023898612	0.0047797224	5.35e-09	1.48e-06	2
cluster_6262	chr6	31628935	31629199	;cg23591298;cg18842363;cg18944099	3	-0.037492605	-0.007498520999999999	5.26e-09	1.48e-06	3
cluster_293	chr1	47901555	47902085	;cg26518431;cg23659056;cg24114899;cg16342298	4	-0.033578283	-0.0067156566	5.89e-09	1.58e-06	4
cluster_643	chr1	236192895	236192973	;cg19723827;cg02155287;cg05813677	3	0.045617076	0.0091234152	7.05e-09	1.82e-06	3
cluster_126	chr1	6546027	6546646	;cg00918541;cg17329304;cg24535622;cg18125265	4	-0.021650446	-0.0043300892	8.38e-09	2.1e-06	4
cluster_4907	chr21	31802169	31802829	;cg24082983;cg14062083	2	0.025709315	0.005141863	1.2e-08	2.91e-06	2
cluster_652	chr1	240783328	240783389	;cg19262637;cg07595602;cg26427535	3	0.040863042	0.0081726084	1.38e-08	3.26e-06	3
cluster_3275	chr17	10421635	10422077	;cg00421089;cg14833286;cg25650956	3	0.045068689	0.009013737800000001	1.47e-08	3.35e-06	3
cluster_6143	chr6	25650786	25651144	;cg00830325;cg11123018	2	0.008409488	0.0016818976	1.52e-08	3.38e-06	2
cluster_1976	chr12	120242490	120242513	;cg14132388;cg24973993	2	-0.025163308	-0.0050326616	1.92e-08	4.14e-06	2
