Chromosome	Start	End	RefSeq_ID	Gene_Symbol	Zygote	2-cell	4-cell	8-cell	Morula	Epiblast	PGC (E11.5)	PGC (E12.5)	PGC (E13.5)	PGC (E14.5)	Oocyte (meiosis)	Pro-spermatogonia	Spermatogonia	Spermatocyte	Spermtid	Sperm	Oocyte	gene_key	age_weight_5yr	n_human_dmr	contribution_8cell_to_morula	weight_norm	weight_norm_matched
chr10	79458359	79462359	NM_013850	Abca7	0.6585	0.23800000000000002	0.4795	0.599	0.5489	0.2648	0.5191	0.2565	0.2484							0.7392	0.16899999999999998	ABCA7	-0.026841847999999998	1	0.006819034645447785	-0.01835519025217983	-0.02849876962963012
chr19	57288522	57292522	NM_178688	Ablim1	0.1675	0.8662	0.1786	0.4203	0.7691	0.8459	0.2941	0.5722	0.5147							0.2066	0.7192	ABLIM1	0.020471085	1	0.011783992040661792	0.013998688161990364	0.021734745516909893
chr2	93480590	93484590	NM_007442	Alx4	0.0337	0.0813	0.4942	0.1153	0.5107	0.3524	0.5589	0.2689	0.2022							0.6381	0.1686	ALX4	-0.04283180599999999	1	0.008653346148323584	-0.02928956113507749	-0.04547577245855088
chr3	126699370	126703370	NM_178655	Ank2	0.0124	0.6945	0.1223	0.0667	0.8087	0.6738	0.4605	0.1912	0.2452							0.4651	0.9501	ANK2	0.05939623	1	0.022126296631851887	0.040616767590377204	0.06306270252474888
chr3	132895853	132899853	NM_029953	Arhgef38	0.4617	0.6112	0.4161	0.0349	0.2764	0.4681	0.2251	0.1894	0.2994							0.0265	0.9946	ARHGEF38	0.044142923	1	0.004570751879738167	0.030186138821452414	0.04686782345818742
chr4	41676174	41680174	NM_001017362	Arid3c	0.6435	0.8827	0.3384	0.9424	0.8274	0.5499	0.5556	0.0132	0.195							0.418	0.5187	ARID3C	-0.027870513	1	0.00873684631264638	-0.019058619530996943	-0.02959093313718979
chr2	19118744	19122744	NM_001081083	Armc3	0.6359	0.3862	0.7927	0.7462	0.9505	0.3475	0.2114	0.4646	0.2401							0.0143	0.9954	ARMC3	0.08106502	1	0.0	0.055434479209358574	0.08606908622690057
chr7	106681995	106685995	NM_177231	Arrb1	0.1951	0.0142	0.6406	0.3777	0.6316	0.7291	0.3951	0.2532	0.2785							0.63	0.3916	ARRB1	0.06626217400000001	1	0.02262487967765668	0.045311888000149764	0.07035247468745322
chr8	55633683	55637683	NM_029569	Asb5	0.6226	0.0633	0.5068	0.9396	0.0513	0.1971	0.6251	0.2433	0.2736							0.7956	0.8691	ASB5	0.055498035	1	0.0	0.03795107516617839	0.0589238756721277
chr5	112819233	112823233	NM_028386	Asphd2	0.7155	0.7041	0.9542	0.7672	0.0612	0.1171	0.2407	0.5513	0.2373							0.33299999999999996	0.7112	ASPHD2	0.073881417	1	0.014130085094661491	0.05052213488190654	0.0784420462776497
