cluster_name	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr
cluster_23	age_DMR	age_DMR	cluster_23	chr1	1135492	1135955	464	2	-0.023801903
cluster_67	age_DMR	age_DMR	cluster_67	chr1	2559320	2559371	52	2	-0.031518464
cluster_123	age_DMR	age_DMR	cluster_123	chr1	6519923	6520194	272	2	-0.032496993
cluster_125	age_DMR	age_DMR	cluster_125	chr1	6529710	6530205	496	2	-0.020406298
cluster_126	age_DMR	age_DMR	cluster_126	chr1	6546027	6546646	620	4	-0.021650446
cluster_242	age_DMR	age_DMR	cluster_242	chr1	33231070	33231109	40	2	-0.017895363
cluster_293	age_DMR	age_DMR	cluster_293	chr1	47901555	47902085	531	4	-0.033578283
cluster_315	age_DMR	age_DMR	cluster_315	chr1	66797701	66798063	363	2	0.044527436
cluster_386	age_DMR	age_DMR	cluster_386	chr1	120311439	120311653	215	4	0.028296419
cluster_483	age_DMR	age_DMR	cluster_483	chr1	158670124	158670617	494	3	0.025181528
cluster_543	age_DMR	age_DMR	cluster_543	chr1	198828060	198828249	190	5	0.018045133
cluster_587	age_DMR	age_DMR	cluster_587	chr1	213122829	213123025	197	2	-0.017575416
cluster_618	age_DMR	age_DMR	cluster_618	chr1	228604953	228605010	58	2	-0.028772272
cluster_634	age_DMR	age_DMR	cluster_634	chr1	234293071	234293143	73	3	0.102996079
cluster_643	age_DMR	age_DMR	cluster_643	chr1	236192895	236192973	79	3	0.045617076
cluster_652	age_DMR	age_DMR	cluster_652	chr1	240783328	240783389	62	3	0.040863042
cluster_832	age_DMR	age_DMR	cluster_832	chr10	17347047	17347391	345	3	0.093944091
cluster_840	age_DMR	age_DMR	cluster_840	chr10	23287263	23287284	22	2	0.08106502
cluster_883	age_DMR	age_DMR	cluster_883	chr10	50816058	50816262	205	2	-0.033963623
cluster_900	age_DMR	age_DMR	cluster_900	chr10	71560212	71560231	20	2	-0.022477033
cluster_915	age_DMR	age_DMR	cluster_915	chr10	74714308	74714935	628	4	0.034264481
cluster_916	age_DMR	age_DMR	cluster_916	chr10	74870240	74870311	72	2	-0.025276367
cluster_950	age_DMR	age_DMR	cluster_950	chr10	95123718	95123774	57	3	0.033547863
cluster_1007	age_DMR	age_DMR	cluster_1007	chr10	116444240	116444463	224	3	0.020471085
cluster_1126	age_DMR	age_DMR	cluster_1126	chr10	134661502	134661640	139	3	-0.033032012
cluster_1257	age_DMR	age_DMR	cluster_1257	chr11	2909690	2909715	26	3	-0.042734524
cluster_1333	age_DMR	age_DMR	cluster_1333	chr11	44328423	44329915	1493	3	-0.042831806
cluster_1387	age_DMR	age_DMR	cluster_1387	chr11	59824038	59824089	52	2	0.027980847
cluster_1406	age_DMR	age_DMR	cluster_1406	chr11	62559856	62559882	27	2	-0.010845082
cluster_1523	age_DMR	age_DMR	cluster_1523	chr11	74978433	74978559	127	2	0.066262174
cluster_1556	age_DMR	age_DMR	cluster_1556	chr11	108408950	108408962	13	2	0.027292831
cluster_1564	age_DMR	age_DMR	cluster_1564	chr11	111956647	111956885	239	6	-0.013214527
cluster_1586	age_DMR	age_DMR	cluster_1586	chr11	117688335	117688338	4	2	-0.025152623
cluster_1607	age_DMR	age_DMR	cluster_1607	chr11	122756770	122756965	196	3	0.023808391
cluster_1688	age_DMR	age_DMR	cluster_1688	chr12	1738035	1738060	26	2	-0.051417718
cluster_1715	age_DMR	age_DMR	cluster_1715	chr12	7032991	7033911	921	8	-0.061309439
cluster_1718	age_DMR	age_DMR	cluster_1718	chr12	7188165	7188426	262	3	0.013745268
cluster_1742	age_DMR	age_DMR	cluster_1742	chr12	11151430	11151622	193	4	0.010894564
cluster_1758	age_DMR	age_DMR	cluster_1758	chr12	20848285	20848473	189	2	0.027213681
cluster_1764	age_DMR	age_DMR	cluster_1764	chr12	25801455	25801621	167	4	0.045710488
cluster_1806	age_DMR	age_DMR	cluster_1806	chr12	49371182	49371310	129	2	-0.025223915
cluster_1851	age_DMR	age_DMR	cluster_1851	chr12	56131768	56132083	316	2	-0.015637944
cluster_1921	age_DMR	age_DMR	cluster_1921	chr12	101988756	101988803	48	2	0.013074757
cluster_1922	age_DMR	age_DMR	cluster_1922	chr12	102872603	102873312	710	4	0.043206154
cluster_1976	age_DMR	age_DMR	cluster_1976	chr12	120242490	120242513	24	2	-0.025163308
cluster_2004	age_DMR	age_DMR	cluster_2004	chr12	124763658	124763800	143	2	0.054339939
cluster_2126	age_DMR	age_DMR	cluster_2126	chr13	22058122	22058128	7	2	0.054376277
cluster_2190	age_DMR	age_DMR	cluster_2190	chr13	58299015	58299073	59	2	0.067321522
cluster_2324	age_DMR	age_DMR	cluster_2324	chr13	114865944	114866221	278	2	-0.070097421
cluster_2355	age_DMR	age_DMR	cluster_2355	chr14	23525003	23525720	718	3	-0.01669596
cluster_2365	age_DMR	age_DMR	cluster_2365	chr14	24630327	24630512	186	6	-0.041337281
cluster_2623	age_DMR	age_DMR	cluster_2623	chr15	37190548	37190694	147	2	0.033252448
cluster_2637	age_DMR	age_DMR	cluster_2637	chr15	48413040	48413344	305	5	0.040134182
cluster_2727	age_DMR	age_DMR	cluster_2727	chr15	91447374	91447749	376	3	-0.016253451
