chr	start	end	Gene	Peak_type	Cluster	Accessibility_2-cell	Accessibility_4-cell	Accessibility_8-cell	Accessibility_Morula	source_file	source_sheet
chr19	58867308	58868837	A1BG	distal	3	0.173194787	0.333367199	-0.314564628	-0.739617159	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	58873252	58874654	A1BG	distal	3	-0.386570595	0.027323699	0.27747335300000003	-0.107041228	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	58858458	58859352	A1BG	promoter	3	0.874776998	-0.052280435	-0.590110066	-0.335278825	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr1	33790264	33790990	A3GALT2	distal	5	0.551091589	-0.888157388	-0.7324416509999999	2.157212339	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr1	33779169	33779716	A3GALT2	distal	5	0.00146435	-0.465850872	-0.219163582	-0.6080357270000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr1	33793085	33793779	A3GALT2	distal	5	-0.08081733	0.480309482	-0.7362008459999999	-0.192717556	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr22	43112461	43113710	A4GALT	distal	6	0.886763741	-1.4069144059999998	-0.583636691	-0.037870896	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr22	43113054	43113867	A4GALT	distal	6	-0.18833756899999998	0.24611477899999998	-0.375489398	0.8350951609999999	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr22	43110939	43111489	A4GALT	distal	6	0.26288242300000003	-1.0738651609999998	-0.974872265	1.450599354	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr22	43097282	43097702	A4GALT	distal	6	-0.232676694	0.263944047	-0.945258151	-1.169817382	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr22	43122642	43123266	A4GALT	distal	6	1.0321287190000001	-0.263243732	-1.300174192	-0.897088743	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr22	43106963	43108432	A4GALT	distal	6	-0.084900571	-0.829186073	0.0011337839999999999	2.248942087	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr22	43116436	43117570	A4GALT	distal	6	0.213138461	0.171907198	-0.8077249809999999	0.590056337	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr22	43114941	43117341	A4GALT	distal	6	-0.792618233	0.21550313	-1.220601642	0.45023899799999995	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	125634017	125634639	AACS	distal	2	0.814114824	1.810977771	-0.7443400859999999	-0.513450144	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	125549551	125550782	AACS	promoter	2	0.162576216	-0.320923034	-0.09203674199999999	-0.456392045	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	125554862	125556021	AACS	distal	2	-0.333407203	-0.308936163	0.552057693	1.952967075	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	125635755	125636476	AACS	distal	2	-1.3245686970000001	1.482364201	0.858042077	-1.05359489	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	69828194	69829351	AAK1	distal	5	-0.770586407	0.180475587	0.28363925100000004	1.9989194780000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
