cluster_name	module_id	chr	start	end	nearest_gene	gene_id	distance_to_TSS	abs_distance_to_TSS	gene_type	link_type	promoter_2kb	promoter_5kb	gene_body	intergenic	residual_contribution	module_basis_weight
cluster_2623	M05	chr15	37190548	37190694	RP11-122D10.1	RP11-122D10.1	-11385.0	11385.0	processed_transcript	nearest_TSS	False	False	False	True	0.1966477625952775	1.121745077362747
cluster_6262	M10	chr6	31628935	31629199	C6orf47	C6orf47	-518.0	518.0	protein_coding	nearest_TSS	True	True	False	False	0.1912454605053165	0.739203368289564
cluster_6892	M05	chr7	37947051	37947061	NME8	NME8	-58857.0	58857.0	protein_coding	nearest_TSS	False	False	False	True	0.1797887109823562	1.121745077362747
cluster_5678	M10	chr4	186425697	186425754	PDLIM3	PDLIM3	31040.5	31040.5	protein_coding	nearest_TSS	False	False	False	True	0.1645691559665318	0.739203368289564
cluster_3275	M05	chr17	10421635	10422077	MYH1	MYH1	4.0	4.0	protein_coding	nearest_TSS	True	True	False	False	0.1422064863349969	1.121745077362747
cluster_4373	M01	chr2	49382159	49382401	FSHR	FSHR	-604.0	604.0	protein_coding	nearest_TSS	True	True	False	False	0.1361948309072878	1.6309226688047955
cluster_4141	M05	chr19	51858208	51858276	CTD-2616J11.9	CTD-2616J11.9	-9819.0	9819.0	antisense	nearest_TSS	False	False	False	True	0.1345314971598012	1.121745077362747
cluster_7042	M05	chr7	108168130	108168721	CTB-54D4.1	CTB-54D4.1	-17748.5	17748.5	pseudogene	nearest_TSS	False	False	False	True	0.1297927692615848	1.121745077362747
cluster_4605	M01	chr2	227288327	227288518	MIR5702	MIR5702	235086.5	235086.5	miRNA	nearest_TSS	False	False	False	True	0.1245572055941755	1.6309226688047955
cluster_6498	M12	chr6	132931714	132931736	TAAR3	TAAR3	-1284.0	1284.0	pseudogene	nearest_TSS	True	True	False	False	0.1233684733597841	1.093930175059908
cluster_2743	M07	chr15	96894342	96894509	RP11-522B15.3	RP11-522B15.3	3040.5	3040.5	lincRNA	nearest_TSS	False	True	False	False	0.1179709977870684	0.3396809001439573
cluster_6960	M01	chr7	76828885	76829845	FGL2	FGL2	-222.0	222.0	protein_coding	nearest_TSS	True	True	False	False	0.1150872869677093	1.6309226688047955
cluster_1742	M08	chr12	11151430	11151622	TAS2R20	TAS2R20	-1052.0	1052.0	protein_coding	nearest_TSS	True	True	False	False	0.1109335240179164	0.5664617239942059
cluster_6655	M01	chr6	168963358	168963731	AL391319.1	AL391319.1	104188.5	104188.5	pseudogene	nearest_TSS	False	False	False	True	0.1006123569637234	1.6309226688047955
cluster_4404	M01	chr2	74607470	74607600	DCTN1-AS1	DCTN1-AS1	5078.0	5078.0	antisense	nearest_TSS	False	False	False	True	0.0972246935380607	1.6309226688047955
cluster_543	M08	chr1	198828060	198828249	MIR181B1	MIR181B1	-43.5	43.5	miRNA	nearest_TSS	True	True	False	False	0.0903190284088766	0.5664617239942059
cluster_4026	M03	chr19	39806522	39806765	LRFN1	LRFN1	-667.5	667.5	protein_coding	nearest_TSS	True	True	False	False	0.0834739790170535	0.1684932521077122
cluster_4904	M12	chr21	31661731	31661998	KRTAP25-1	KRTAP25-1	-32.5	32.5	protein_coding	nearest_TSS	True	True	False	False	0.079519979974636	1.093930175059908
cluster_6651	M01	chr6	168867541	168867685	SMOC2	SMOC2	-25782.0	25782.0	protein_coding	nearest_TSS	False	False	False	True	0.0778453896585507	1.6309226688047955
cluster_5923	M09	chr5	120191823	120192115	CTD-2334D19.1	CTD-2334D19.1	-75056.0	75056.0	lincRNA	nearest_TSS	False	False	False	True	0.0774541554875099	0.6164484768865169
cluster_242	M01	chr1	33231070	33231109	KIAA1522	KIAA1522	-23603.5	23603.5	protein_coding	nearest_TSS	False	False	False	True	0.0773625907521746	1.6309226688047955
cluster_6087	M10	chr6	2437142	2437147	RP1-136B1.1	RP1-136B1.1	638.5	638.5	lincRNA	nearest_TSS	True	True	False	False	0.0747346449206742	0.739203368289564
cluster_6495	M09	chr6	130182053	130182551	TMEM244	TMEM244	390.0	390.0	protein_coding	nearest_TSS	True	True	False	False	0.074610828498747	0.6164484768865169
cluster_7072	M01	chr7	132435910	132436239	SNORD46	SNORD46	1708.5	1708.5	snoRNA	nearest_TSS	True	True	False	False	0.0731353853165772	1.6309226688047955
cluster_2190	M12	chr13	58299015	58299073	PCDH17	PCDH17	-93100.0	93100.0	protein_coding	nearest_TSS	False	False	False	True	0.0710896289019975	1.093930175059908
cluster_587	M05	chr1	213122829	213123025	VASH2	VASH2	935.0	935.0	protein_coding	nearest_TSS	True	True	False	False	0.0693649918891212	1.121745077362747
cluster_125	M07	chr1	6529710	6530205	TNFRSF25	TNFRSF25	-3702.5	3702.5	protein_coding	nearest_TSS	False	True	False	False	0.0639287189875389	0.3396809001439573
cluster_5002	M01	chr22	26829758	26830041	ASPHD2	ASPHD2	-4660.5	4660.5	protein_coding	nearest_TSS	False	True	False	False	0.0620667827294791	1.6309226688047955
cluster_643	M13	chr1	236192895	236192973	Y_RNA	Y_RNA	31043.0	31043.0	misc_RNA	nearest_TSS	False	False	False	True	0.0618002006883134	0.4282442670836051
cluster_832	M01	chr10	17347047	17347391	RP11-124N14.3	RP11-124N14.3	-70387.0	70387.0	antisense	nearest_TSS	False	False	False	True	0.0616692971968747	1.6309226688047955
cluster_5679	M01	chr4	186427685	186427765	PDLIM3	PDLIM3	29041.0	29041.0	protein_coding	nearest_TSS	False	False	False	True	0.0613185877440524	1.6309226688047955
cluster_1387	M12	chr11	59824038	59824089	MS4A3	MS4A3	-3.5	3.5	protein_coding	nearest_TSS	True	True	False	False	0.0591703250537913	1.093930175059908
cluster_6114	M01	chr6	7248862	7248983	RP11-69L16.4	RP11-69L16.4	27341.5	27341.5	antisense	nearest_TSS	False	False	False	True	0.0590051237513787	1.6309226688047955
cluster_1764	M15	chr12	25801455	25801621	IFLTD1	IFLTD1	-25.0	25.0	protein_coding	nearest_TSS	True	True	False	False	0.0569407704222629	0.0556550758103894
cluster_5661	M01	chr4	177190237	177190421	ASB5	ASB5	8393.0	8393.0	protein_coding	nearest_TSS	False	False	False	True	0.0516704121145394	1.6309226688047955
cluster_6975	M03	chr7	94927713	94928249	snoU13	snoU13	-22083.0	22083.0	snoRNA	nearest_TSS	False	False	False	True	0.0499656462751898	0.1684932521077122
cluster_3348	M02	chr17	38911538	38911540	KRT25	KRT25	45.0	45.0	protein_coding	nearest_TSS	True	True	False	False	0.047389319232879	1.5159442960259268
cluster_5977	M06	chr5	147040667	147040773	JAKMIP2	JAKMIP2	121618.0	121618.0	protein_coding	nearest_TSS	False	False	False	True	0.0462132483412721	0.6980463113959128
cluster_4909	M15	chr21	32014696	32015231	KRTAP20-3	KRTAP20-3	219.5	219.5	protein_coding	nearest_TSS	True	True	False	False	0.0455104341629633	0.0556550758103894
cluster_1718	M00	chr12	7188165	7188426	RP3-461F17.2	RP3-461F17.2	-39350.5	39350.5	pseudogene	nearest_TSS	False	False	False	True	0.0448208684134199	0.5428994746098068
cluster_6532	M09	chr6	152702330	152702463	SYNE1-AS1	SYNE1-AS1	-715.5	715.5	antisense	nearest_TSS	True	True	False	False	0.043380022403273	0.6164484768865169
cluster_2365	M07	chr14	24630327	24630512	IRF9	IRF9	-157.5	157.5	protein_coding	nearest_TSS	True	True	False	False	0.0420659517157953	0.3396809001439573
cluster_1758	M01	chr12	20848285	20848473	SLCO1C1	SLCO1C1	-90.0	90.0	protein_coding	nearest_TSS	True	True	False	False	0.0414697851795486	1.6309226688047955
cluster_6604	M03	chr6	167173257	167173343	RP3-497J21.1	RP3-497J21.1	-56973.0	56973.0	pseudogene	nearest_TSS	False	False	False	True	0.0406870160028717	0.1684932521077122
cluster_3519	M01	chr17	76481380	76481729	RP11-559N14.5	RP11-559N14.5	-590.5	590.5	antisense	nearest_TSS	True	True	False	False	0.0396155009392248	1.6309226688047955
cluster_916	M02	chr10	74870240	74870311	NUDT13	NUDT13	-58.5	58.5	protein_coding	nearest_TSS	True	True	False	False	0.0347796982761695	1.5159442960259268
cluster_3684	M02	chr18	61817088	61817320	LINC00305	LINC00305	-940.0	940.0	lincRNA	nearest_TSS	True	True	False	False	0.0330316810641798	1.5159442960259268
cluster_1556	M00	chr11	108408950	108408962	KDELC2	KDELC2	-39797.0	39797.0	protein_coding	nearest_TSS	False	False	False	True	0.0326013937956062	0.5428994746098068
cluster_6143	M08	chr6	25650786	25651144	SCGN	SCGN	1499.0	1499.0	protein_coding	nearest_TSS	True	True	False	False	0.0324829247082393	0.5664617239942059
cluster_5240	M06	chr3	99904510	99904609	TMEM30C	TMEM30C	-28.5	28.5	protein_coding	nearest_TSS	True	True	False	False	0.0306570107148617	0.6980463113959128
cluster_4364	M04	chr2	44502740	44502977	SLC3A1	SLC3A1	-259.5	259.5	protein_coding	nearest_TSS	True	True	False	False	0.0287617835195389	0.158611941316062
