cluster_name	chr	start	end	age_weight_5yr	entropy_8-cell	entropy_morula	delta_H_8cell_to_morula	contribution_8cell_to_morula	positive_contribution_fraction	cumulative_positive_contribution_fraction	nearest_gene	nearest_gene_distance_bp	gene_context	cpg_context	reset_driver_rank_8cell_to_morula	reset_interpretation
cluster_7072	chr7	132435910	132436239	0.082616718	0.6930312235926217	1.481551005799286e-05	0.6930164080825637	0.05725474115593	0.06406277440034415	0.06406277440034415	LOC100506937	7655	intergenic	non_CpG_island	1.0	entropy_decreases_8cell_to_morula
cluster_2190	chr13	58299015	58299073	0.067321522	0.6914160776171183	1.481551005799286e-05	0.6914012621070603	0.0465461852777682	0.052080888087945615	0.11614366248828976	PCDH17	0	exon	non_CpG_island	2.0	entropy_decreases_8cell_to_morula
cluster_5659	chr4	175752696	175752781	0.069857776	0.6581099875431143	1.481551005799286e-05	0.6580951720330563	0.0459730651145667	0.05143961948768292	0.1675832819759727	LOC101928551	140	promoter	CpG_shelf	3.0	entropy_decreases_8cell_to_morula
cluster_6087	chr6	2437142	2437147	0.055167825	0.6829081047004717	1.481551005836138e-05	0.6828932891904134	0.0376737374717311	0.04215343735283538	0.20973671932880808	GMDS-DT	23319	intergenic	non_CpG_island	4.0	entropy_decreases_8cell_to_morula
cluster_4373	chr2	49382159	49382401	0.049797989	0.6923469670899615	1.481551005799286e-05	0.6923321515799035	0.0344767488687223	0.03857630198377937	0.24831302131258745	FSHR	626	promoter	non_CpG_island	5.0	entropy_decreases_8cell_to_morula
cluster_4364	chr2	44502740	44502977	0.050410937	0.6177100017301123	1.481551005799286e-05	0.6176951862200543	0.0311385931177424	0.034841213596848684	0.28315423490943614	SLC3A1	0	promoter	non_CpG_island	6.0	entropy_decreases_8cell_to_morula
cluster_5928	chr5	126984765	126984994	0.052801687	0.5890026049647302	1.481551005799286e-05	0.5889877894546722	0.0310995489056075	0.03479752672475498	0.31795176163419114	CTXN3	0	promoter	non_CpG_island	7.0	entropy_decreases_8cell_to_morula
cluster_3275	chr17	10421635	10422077	0.045068689	0.6742034619779163	1.481551005799286e-05	0.6741886464678583	0.0303847984349908	0.033997786873919675	0.35194954850811083	MYH1	0	promoter	non_CpG_island	8.0	entropy_decreases_8cell_to_morula
cluster_3660	chr18	28742633	28743074	0.042266849	0.5640138683384561	1.481551005799286e-05	0.5639990528283981	0.0238384628020409	0.026673041109015142	0.37862258961712597	DSC1	34	promoter	non_CpG_island	9.0	entropy_decreases_8cell_to_morula
cluster_5977	chr5	147040667	147040773	0.060793808	0.3880751637068854	1.481551005836138e-05	0.388060348196827	0.023591666300691	0.02639689858754755	0.40501948820467354	JAKMIP2	0	exon	non_CpG_island	10.0	entropy_decreases_8cell_to_morula
