cluster_name	n_overlapping_peaks	morula_acc_mean	morula_acc_max	morula_acc_sum	cell8_acc_mean	cell8_acc_max	morula_minus_8cell_mean	morula_minus_8cell_max	basin_residual_rank	module_id	latent_residual_delta_beta	abs_latent_residual_delta_beta	signed_latent_residual_direction	chr	start	end	width	n_cpg_target
cluster_23	1	0.369485978	0.369485978	0.369485978	2.220037794	2.220037794	-1.850551816	-1.850551816	103	M06	0.010913730745669705	0.010913730745669705	1.0	chr1	1135492	1135955	464	2
cluster_67	2	-0.0317472865	0.369485978	-0.063494573	2.2155337194999998	2.220037794	-2.247281006	-1.850551816	150	M02	0.0019896580789447228	0.0019896580789447228	1.0	chr1	2559320	2559371	52	2
cluster_123	3	0.39962103833333334	1.262357688	1.198863115	1.3854474539999997	2.220037794	-0.9858264156666667	1.537082765	137	M11	-0.004492636586901818	0.004492636586901818	-1.0	chr1	6519923	6520194	272	2
cluster_125	5	-0.08456080660000005	1.262357688	-0.42280403300000025	0.6398328168	2.220037794	-0.7243936233999999	1.537082765	27	M07	-0.06392871898753896	0.06392871898753896	-1.0	chr1	6529710	6530205	496	2
cluster_126	5	0.2250476056	1.262357688	1.125238028	0.7173916396	2.220037794	-0.4923440340000001	1.537082765	90	M06	-0.013563527494417912	0.013563527494417912	-1.0	chr1	6546027	6546646	620	4
cluster_242	20	0.41439826474999997	1.5410953	8.287965295	0.5116068307500001	1.95188872	-0.09720856600000008	1.897014338	21	M01	0.07736259075217462	0.07736259075217462	1.0	chr1	33231070	33231109	40	2
cluster_293	29	0.29688348013793103	2.02578997	8.609620924	0.3368900094482759	1.95188872	-0.040006529310344895	2.320985792	102	M00	-0.011320331359549872	0.011320331359549872	-1.0	chr1	47901555	47902085	531	4
cluster_315	31	0.2731706742258064	2.02578997	8.468290901	0.40914091658064516	1.95188872	-0.13597024235483873	2.320985792	144	M00	-0.0035426819026432186	0.0035426819026432186	-1.0	chr1	66797701	66798063	363	2
cluster_386	31	0.22308891954838705	2.02578997	6.915756505999998	0.36720996322580646	1.95188872	-0.14412104367741935	2.320985792	145	M00	-0.0025304369417066693	0.0025304369417066693	-1.0	chr1	120311439	120311653	215	4
cluster_483	41	0.19028365353658538	2.204821917	7.801629794999999	0.37998318470731707	2.188053731	-0.1896995311707318	2.562716128	80	M11	-0.018269489425537275	0.018269489425537275	-1.0	chr1	158670124	158670617	494	3
cluster_543	46	0.19774904530434778	2.204821917	9.096456084	0.35168304126086947	2.188053731	-0.15393399595652177	2.562716128	16	M08	0.0903190284088766	0.0903190284088766	1.0	chr1	198828060	198828249	190	5
cluster_587	46	0.19596429402173907	2.204821917	9.014357525	0.3982643173478261	2.327570941	-0.202300023326087	2.562716128	26	M05	-0.06936499188912126	0.06936499188912126	-1.0	chr1	213122829	213123025	197	2
cluster_618	47	0.18568472110638296	2.204821917	8.727181891999999	0.4005903616595745	2.327570941	-0.21490564055319153	2.562716128	95	M02	0.012457672993492734	0.012457672993492734	1.0	chr1	228604953	228605010	58	2
