chr	start	end	cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	P0_beta	P2_beta	P2_minus_P0_beta
chr15	37190548	37190694	cluster_2623	1	-0.1966477625952775	M05	0.0	0.0	0.0
chr6	31628935	31629199	cluster_6262	2	-0.1912454605053165	M10	0.015318083763122558	0.0025122162744854438	-0.012805867488637114
chr7	37947051	37947061	cluster_6892	3	-0.1797887109823562	M05	0.0	0.0208442200422287	0.0208442200422287
chr4	186425697	186425754	cluster_5678	4	-0.1645691559665318	M10	0.021284101009368898	0.0	-0.021284101009368898
chr17	10421635	10422077	cluster_3275	5	-0.1422064863349969	M05	0.015264832396313077	0.017234403218618886	0.001969570822305809
chr2	49382159	49382401	cluster_4373	6	-0.1361948309072878	M01	0.0	0.007125554868012421	0.007125554868012421
chr19	51858208	51858276	cluster_4141	7	-0.1345314971598012	M05	0.0	0.0	0.0
chr7	108168130	108168721	cluster_7042	8	-0.1297927692615848	M05	1.800676892856656e-05	0.005450729287013588	0.005432722518085021
chr2	227288327	227288518	cluster_4605	9	-0.1245572055941755	M01	0.0	0.01607217504091912	0.01607217504091912
chr6	132931714	132931736	cluster_6498	10	0.1233684733597841	M12	0.0	0.009474629759788513	0.009474629759788513
chr15	96894342	96894509	cluster_2743	11	-0.1179709977870684	M07	0.009494994450472072	0.01770113237603696	0.008206137925564887
chr7	76828885	76829845	cluster_6960	12	-0.1150872869677093	M01	0.006207854400078455	0.015791058279573916	0.009583203879495461
chr12	11151430	11151622	cluster_1742	13	0.1109335240179164	M08	0.005764438807964325	0.0	-0.005764438807964325
chr6	168963358	168963731	cluster_6655	14	-0.1006123569637234	M01	0.0	0.010160460644688746	0.010160460644688746
chr2	74607470	74607600	cluster_4404	15	-0.0972246935380607	M01	0.008186192695911114	0.020406892483051005	0.012220699787139891
chr1	198828060	198828249	cluster_543	16	0.0903190284088766	M08	0.027027386836904695	0.034088566820457494	0.007061179983552799
chr19	39806522	39806765	cluster_4026	17	0.0834739790170535	M03	0.010291681319107245	0.007018257610101268	-0.0032734237090059765
chr21	31661731	31661998	cluster_4904	18	0.079519979974636	M12	0.02802003003684769	0.016891118087125626	-0.011128911949722063
chr6	168867541	168867685	cluster_6651	19	-0.0778453896585507	M01	0.06385222832361857	0.027436959279908076	-0.036415269043710494
chr5	120191823	120192115	cluster_5923	20	0.0774541554875099	M09	0.009402894949259824	0.0	-0.009402894949259824
chr1	33231070	33231109	cluster_242	21	0.0773625907521746	M01	0.0	0.0	0.0
chr6	2437142	2437147	cluster_6087	22	-0.0747346449206742	M10	0.010642000436782838	0.0	-0.010642000436782838
chr6	130182053	130182551	cluster_6495	23	0.074610828498747	M09	0.006282656322042625	0.004604138248416794	-0.0016785180736258315
chr7	132435910	132436239	cluster_7072	24	-0.0731353853165772	M01	0.005790042815599761	0.006882795608152372	0.001092752792552611
chr13	58299015	58299073	cluster_2190	25	0.0710896289019975	M12	0.0	0.0	0.0
chr1	213122829	213123025	cluster_587	26	-0.0693649918891212	M05	0.032414782460854975	0.0	-0.032414782460854975
