cpg_id	cluster_name	chr	start	end	age_weight_5yr	age_weight_per_year
cg00416945	cluster_3123	chr16	88165722	88165938	0.029691182	0.0059382364
cg00659029	cluster_3123	chr16	88165722	88165938	0.029691182	0.0059382364
cg05270617	cluster_840	chr10	23287263	23287284	0.08106502	0.016213004
cg10971559	cluster_840	chr10	23287263	23287284	0.08106502	0.016213004
cg12055258	cluster_7052	chr7	121651766	121652024	0.031851411	0.006370282200000001
cg07132005	cluster_7052	chr7	121651766	121652024	0.031851411	0.006370282200000001
cg03995555	cluster_7052	chr7	121651766	121652024	0.031851411	0.006370282200000001
cg09657435	cluster_7052	chr7	121651766	121652024	0.031851411	0.006370282200000001
cg10410852	cluster_915	chr10	74714308	74714935	0.034264481	0.0068528962
cg21820890	cluster_915	chr10	74714308	74714935	0.034264481	0.0068528962
cg10842126	cluster_915	chr10	74714308	74714935	0.034264481	0.0068528962
cg02044879	cluster_915	chr10	74714308	74714935	0.034264481	0.0068528962
cg12178456	cluster_5923	chr5	120191823	120192115	0.033485903	0.0066971806
cg12202847	cluster_5923	chr5	120191823	120192115	0.033485903	0.0066971806
cg18592745	cluster_4026	chr19	39806522	39806765	-0.028841341	-0.0057682682
cg00471142	cluster_4026	chr19	39806522	39806765	-0.028841341	-0.0057682682
cg07629125	cluster_2190	chr13	58299015	58299073	0.067321522	0.013464304399999998
cg24586528	cluster_2190	chr13	58299015	58299073	0.067321522	0.013464304399999998
cg00119186	cluster_483	chr1	158670124	158670617	0.025181528	0.005036305600000001
cg03002968	cluster_483	chr1	158670124	158670617	0.025181528	0.005036305600000001
cg02245566	cluster_483	chr1	158670124	158670617	0.025181528	0.005036305600000001
cg00093095	cluster_3519	chr17	76481380	76481729	0.033654647	0.0067309294
cg24801087	cluster_3519	chr17	76481380	76481729	0.033654647	0.0067309294
cg10092241	cluster_4028	chr19	40005557	40005602	-0.005814663	-0.0011629326
cg18097850	cluster_4028	chr19	40005557	40005602	-0.005814663	-0.0011629326
cg02192965	cluster_4364	chr2	44502740	44502977	0.050410937	0.010082187400000001
cg03217954	cluster_4364	chr2	44502740	44502977	0.050410937	0.010082187400000001
cg04636834	cluster_2776	chr16	685580	685686	-0.057703016	-0.011540603200000001
cg20319926	cluster_2776	chr16	685580	685686	-0.057703016	-0.011540603200000001
cg13321166	cluster_1387	chr11	59824038	59824089	0.027980847	0.0055961694
cg03348161	cluster_1387	chr11	59824038	59824089	0.027980847	0.0055961694
cg22798737	cluster_6975	chr7	94927713	94928249	0.037164296	0.0074328592
cg09416203	cluster_6975	chr7	94927713	94928249	0.037164296	0.0074328592
cg24829483	cluster_5516	chr4	15341641	15341878	0.020991971	0.0041983942
cg00076653	cluster_5516	chr4	15341641	15341878	0.020991971	0.0041983942
cg12614090	cluster_1007	chr10	116444240	116444463	0.020471085	0.004094217
cg04508114	cluster_1007	chr10	116444240	116444463	0.020471085	0.004094217
cg01185921	cluster_1007	chr10	116444240	116444463	0.020471085	0.004094217
cg13400306	cluster_6892	chr7	37947051	37947061	0.024035571	0.0048071141999999996
cg23169784	cluster_6892	chr7	37947051	37947061	0.024035571	0.0048071141999999996
cg22385595	cluster_7341	chr8	1563040	1563113	0.071478852	0.0142957704
cg25449412	cluster_7341	chr8	1563040	1563113	0.071478852	0.0142957704
cg05009707	cluster_6171	chr6	29555799	29556229	0.026677932	0.0053355864
cg11629449	cluster_6171	chr6	29555799	29556229	0.026677932	0.0053355864
cg22814023	cluster_6171	chr6	29555799	29556229	0.026677932	0.0053355864
cg06434255	cluster_6171	chr6	29555799	29556229	0.026677932	0.0053355864
cg00041666	cluster_6532	chr6	152702330	152702463	0.037280463	0.0074560926
cg07604117	cluster_6532	chr6	152702330	152702463	0.037280463	0.0074560926
cg19827346	cluster_6532	chr6	152702330	152702463	0.037280463	0.0074560926
cg20187047	cluster_6532	chr6	152702330	152702463	0.037280463	0.0074560926
cg13806292	cluster_6532	chr6	152702330	152702463	0.037280463	0.0074560926
cg04260516	cluster_2365	chr14	24630327	24630512	-0.041337281	-0.008267456199999999
cg11065693	cluster_2365	chr14	24630327	24630512	-0.041337281	-0.008267456199999999
cg19556208	cluster_2365	chr14	24630327	24630512	-0.041337281	-0.008267456199999999
cg13809864	cluster_2365	chr14	24630327	24630512	-0.041337281	-0.008267456199999999
cg23327992	cluster_2365	chr14	24630327	24630512	-0.041337281	-0.008267456199999999
cg11022340	cluster_2365	chr14	24630327	24630512	-0.041337281	-0.008267456199999999
cg19790294	cluster_3133	chr16	88717755	88717989	-0.018315712	-0.0036631424000000004
cg03870138	cluster_3133	chr16	88717755	88717989	-0.018315712	-0.0036631424000000004
cg27176614	cluster_3133	chr16	88717755	88717989	-0.018315712	-0.0036631424000000004
cg06865992	cluster_3336	chr17	37764503	37764802	-0.010225803	-0.0020451606
cg22534110	cluster_3336	chr17	37764503	37764802	-0.010225803	-0.0020451606
cg08348709	cluster_3336	chr17	37764503	37764802	-0.010225803	-0.0020451606
cg10626682	cluster_4904	chr21	31661731	31661998	0.033716782	0.0067433564
cg24145481	cluster_4904	chr21	31661731	31661998	0.033716782	0.0067433564
cg02534744	cluster_3762	chr19	863226	863244	-0.027459185	-0.005491837
cg08164326	cluster_3762	chr19	863226	863244	-0.027459185	-0.005491837
cg14776050	cluster_1523	chr11	74978433	74978559	0.066262174	0.013252434799999999
cg09403933	cluster_1523	chr11	74978433	74978559	0.066262174	0.013252434799999999
cg22983092	cluster_3348	chr17	38911538	38911540	0.023898612	0.0047797224
cg18901980	cluster_3348	chr17	38911538	38911540	0.023898612	0.0047797224
cg23591298	cluster_6262	chr6	31628935	31629199	-0.037492605	-0.007498520999999999
cg18842363	cluster_6262	chr6	31628935	31629199	-0.037492605	-0.007498520999999999
cg18944099	cluster_6262	chr6	31628935	31629199	-0.037492605	-0.007498520999999999
cg26518431	cluster_293	chr1	47901555	47902085	-0.033578283	-0.0067156566
cg23659056	cluster_293	chr1	47901555	47902085	-0.033578283	-0.0067156566
cg24114899	cluster_293	chr1	47901555	47902085	-0.033578283	-0.0067156566
cg16342298	cluster_293	chr1	47901555	47902085	-0.033578283	-0.0067156566
cg19723827	cluster_643	chr1	236192895	236192973	0.045617076	0.0091234152
cg02155287	cluster_643	chr1	236192895	236192973	0.045617076	0.0091234152
cg05813677	cluster_643	chr1	236192895	236192973	0.045617076	0.0091234152
cg00918541	cluster_126	chr1	6546027	6546646	-0.021650446	-0.0043300892
cg17329304	cluster_126	chr1	6546027	6546646	-0.021650446	-0.0043300892
cg24535622	cluster_126	chr1	6546027	6546646	-0.021650446	-0.0043300892
cg18125265	cluster_126	chr1	6546027	6546646	-0.021650446	-0.0043300892
cg24082983	cluster_4907	chr21	31802169	31802829	0.025709315	0.005141863
cg14062083	cluster_4907	chr21	31802169	31802829	0.025709315	0.005141863
cg19262637	cluster_652	chr1	240783328	240783389	0.040863042	0.0081726084
cg07595602	cluster_652	chr1	240783328	240783389	0.040863042	0.0081726084
cg26427535	cluster_652	chr1	240783328	240783389	0.040863042	0.0081726084
cg00421089	cluster_3275	chr17	10421635	10422077	0.045068689	0.009013737800000001
cg14833286	cluster_3275	chr17	10421635	10422077	0.045068689	0.009013737800000001
cg25650956	cluster_3275	chr17	10421635	10422077	0.045068689	0.009013737800000001
cg00830325	cluster_6143	chr6	25650786	25651144	0.008409488	0.0016818976
cg11123018	cluster_6143	chr6	25650786	25651144	0.008409488	0.0016818976
cg14132388	cluster_1976	chr12	120242490	120242513	-0.025163308	-0.0050326616
cg24973993	cluster_1976	chr12	120242490	120242513	-0.025163308	-0.0050326616
cg01092932	cluster_543	chr1	198828060	198828249	0.018045133	0.0036090266
cg25349643	cluster_543	chr1	198828060	198828249	0.018045133	0.0036090266
cg26160460	cluster_543	chr1	198828060	198828249	0.018045133	0.0036090266
cg16010809	cluster_543	chr1	198828060	198828249	0.018045133	0.0036090266
cg00111333	cluster_543	chr1	198828060	198828249	0.018045133	0.0036090266
cg12397274	cluster_6442	chr6	54172183	54172378	0.024665217	0.0049330434
cg27090087	cluster_6442	chr6	54172183	54172378	0.024665217	0.0049330434
cg20939768	cluster_618	chr1	228604953	228605010	-0.028772272	-0.0057544544
cg04945350	cluster_618	chr1	228604953	228605010	-0.028772272	-0.0057544544
cg06002471	cluster_4909	chr21	32014696	32015231	0.023414564	0.004682912799999999
cg18593945	cluster_4909	chr21	32014696	32015231	0.023414564	0.004682912799999999
cg25891078	cluster_1688	chr12	1738035	1738060	-0.051417718	-0.0102835436
cg08528444	cluster_1688	chr12	1738035	1738060	-0.051417718	-0.0102835436
cg13009869	cluster_5760	chr5	1855899	1856713	-0.024623956	-0.0049247912
cg18640250	cluster_5760	chr5	1855899	1856713	-0.024623956	-0.0049247912
cg00085370	cluster_5760	chr5	1855899	1856713	-0.024623956	-0.0049247912
cg01181259	cluster_5760	chr5	1855899	1856713	-0.024623956	-0.0049247912
cg12485135	cluster_5760	chr5	1855899	1856713	-0.024623956	-0.0049247912
cg01114163	cluster_5760	chr5	1855899	1856713	-0.024623956	-0.0049247912
cg12750103	cluster_67	chr1	2559320	2559371	-0.031518464	-0.006303692800000001
cg05838104	cluster_67	chr1	2559320	2559371	-0.031518464	-0.006303692800000001
cg21255641	cluster_7000	chr7	100077221	100077394	-0.023266685	-0.004653337
cg01669366	cluster_7000	chr7	100077221	100077394	-0.023266685	-0.004653337
cg20406482	cluster_3369	chr17	40333521	40333758	-0.012269211	-0.0024538422
cg23346773	cluster_3369	chr17	40333521	40333758	-0.012269211	-0.0024538422
cg23695880	cluster_3369	chr17	40333521	40333758	-0.012269211	-0.0024538422
cg18356799	cluster_3660	chr18	28742633	28743074	0.042266849	0.0084533698
cg04180953	cluster_3660	chr18	28742633	28743074	0.042266849	0.0084533698
cg01094301	cluster_4084	chr19	47745212	47745582	-0.019523443	-0.0039046886
cg06701796	cluster_4084	chr19	47745212	47745582	-0.019523443	-0.0039046886
