module_id	cluster_name	chr	start	end	promoter_2kb	promoter_5kb	gene_body	intergenic	CpG_island	CpG_shore	CpG_shelf	repeat_class	repeat_family	residual_contribution	module_basis_weight
M05	cluster_2623	chr15	37190548	37190694	False	False	False	True						0.1966477625952775	1.121745077362747
M10	cluster_6262	chr6	31628935	31629199	True	True	False	False						0.1912454605053165	0.739203368289564
M05	cluster_6892	chr7	37947051	37947061	False	False	False	True						0.1797887109823562	1.121745077362747
M10	cluster_5678	chr4	186425697	186425754	False	False	False	True						0.1645691559665318	0.739203368289564
M05	cluster_3275	chr17	10421635	10422077	True	True	False	False						0.1422064863349969	1.121745077362747
M01	cluster_4373	chr2	49382159	49382401	True	True	False	False						0.1361948309072878	1.6309226688047955
M05	cluster_4141	chr19	51858208	51858276	False	False	False	True						0.1345314971598012	1.121745077362747
M05	cluster_7042	chr7	108168130	108168721	False	False	False	True						0.1297927692615848	1.121745077362747
M01	cluster_4605	chr2	227288327	227288518	False	False	False	True						0.1245572055941755	1.6309226688047955
M12	cluster_6498	chr6	132931714	132931736	True	True	False	False						0.1233684733597841	1.093930175059908
M07	cluster_2743	chr15	96894342	96894509	False	True	False	False						0.1179709977870684	0.3396809001439573
M01	cluster_6960	chr7	76828885	76829845	True	True	False	False						0.1150872869677093	1.6309226688047955
M08	cluster_1742	chr12	11151430	11151622	True	True	False	False						0.1109335240179164	0.5664617239942059
M01	cluster_6655	chr6	168963358	168963731	False	False	False	True						0.1006123569637234	1.6309226688047955
M01	cluster_4404	chr2	74607470	74607600	False	False	False	True						0.0972246935380607	1.6309226688047955
M08	cluster_543	chr1	198828060	198828249	True	True	False	False						0.0903190284088766	0.5664617239942059
M03	cluster_4026	chr19	39806522	39806765	True	True	False	False						0.0834739790170535	0.1684932521077122
M12	cluster_4904	chr21	31661731	31661998	True	True	False	False						0.079519979974636	1.093930175059908
M01	cluster_6651	chr6	168867541	168867685	False	False	False	True						0.0778453896585507	1.6309226688047955
M09	cluster_5923	chr5	120191823	120192115	False	False	False	True						0.0774541554875099	0.6164484768865169
M01	cluster_242	chr1	33231070	33231109	False	False	False	True						0.0773625907521746	1.6309226688047955
M10	cluster_6087	chr6	2437142	2437147	True	True	False	False						0.0747346449206742	0.739203368289564
M09	cluster_6495	chr6	130182053	130182551	True	True	False	False						0.074610828498747	0.6164484768865169
M01	cluster_7072	chr7	132435910	132436239	True	True	False	False						0.0731353853165772	1.6309226688047955
M12	cluster_2190	chr13	58299015	58299073	False	False	False	True						0.0710896289019975	1.093930175059908
M05	cluster_587	chr1	213122829	213123025	True	True	False	False						0.0693649918891212	1.121745077362747
M07	cluster_125	chr1	6529710	6530205	False	True	False	False						0.0639287189875389	0.3396809001439573
M01	cluster_5002	chr22	26829758	26830041	False	True	False	False						0.0620667827294791	1.6309226688047955
M13	cluster_643	chr1	236192895	236192973	False	False	False	True						0.0618002006883134	0.4282442670836051
M01	cluster_832	chr10	17347047	17347391	False	False	False	True						0.0616692971968747	1.6309226688047955
M01	cluster_5679	chr4	186427685	186427765	False	False	False	True						0.0613185877440524	1.6309226688047955
M12	cluster_1387	chr11	59824038	59824089	True	True	False	False						0.0591703250537913	1.093930175059908
M01	cluster_6114	chr6	7248862	7248983	False	False	False	True						0.0590051237513787	1.6309226688047955
M15	cluster_1764	chr12	25801455	25801621	True	True	False	False						0.0569407704222629	0.0556550758103894
M01	cluster_5661	chr4	177190237	177190421	False	False	False	True						0.0516704121145394	1.6309226688047955
M03	cluster_6975	chr7	94927713	94928249	False	False	False	True						0.0499656462751898	0.1684932521077122
M02	cluster_3348	chr17	38911538	38911540	True	True	False	False						0.047389319232879	1.5159442960259268
M06	cluster_5977	chr5	147040667	147040773	False	False	False	True						0.0462132483412721	0.6980463113959128
M15	cluster_4909	chr21	32014696	32015231	True	True	False	False						0.0455104341629633	0.0556550758103894
M00	cluster_1718	chr12	7188165	7188426	False	False	False	True						0.0448208684134199	0.5428994746098068
M09	cluster_6532	chr6	152702330	152702463	True	True	False	False						0.043380022403273	0.6164484768865169
M07	cluster_2365	chr14	24630327	24630512	True	True	False	False						0.0420659517157953	0.3396809001439573
M01	cluster_1758	chr12	20848285	20848473	True	True	False	False						0.0414697851795486	1.6309226688047955
M03	cluster_6604	chr6	167173257	167173343	False	False	False	True						0.0406870160028717	0.1684932521077122
M01	cluster_3519	chr17	76481380	76481729	True	True	False	False						0.0396155009392248	1.6309226688047955
M02	cluster_916	chr10	74870240	74870311	True	True	False	False						0.0347796982761695	1.5159442960259268
M02	cluster_3684	chr18	61817088	61817320	True	True	False	False						0.0330316810641798	1.5159442960259268
M00	cluster_1556	chr11	108408950	108408962	False	False	False	True						0.0326013937956062	0.5428994746098068
M08	cluster_6143	chr6	25650786	25651144	True	True	False	False						0.0324829247082393	0.5664617239942059
M06	cluster_5240	chr3	99904510	99904609	True	True	False	False						0.0306570107148617	0.6980463113959128
M04	cluster_4364	chr2	44502740	44502977	True	True	False	False						0.0287617835195389	0.158611941316062
M03	cluster_950	chr10	95123718	95123774	False	False	False	True						0.0286656787681627	0.1684932521077122
M06	cluster_1523	chr11	74978433	74978559	False	True	False	False						0.0286577847525831	0.6980463113959128
M08	cluster_4907	chr21	31802169	31802829	True	True	False	False						0.0281918746673707	0.5664617239942059
M04	cluster_3660	chr18	28742633	28743074	True	True	False	False						0.0267335027684852	0.158611941316062
M07	cluster_5064	chr22	46370644	46371152	True	True	False	False						0.0265140525538444	0.3396809001439573
M13	cluster_4532	chr2	159651559	159651918	True	True	False	False						0.0255573795701712	0.4282442670836051
M07	cluster_3762	chr19	863226	863244	False	True	False	False						0.0254792161705422	0.3396809001439573
M04	cluster_6518	chr6	143929300	143929511	False	False	False	True						0.0249569027227029	0.158611941316062
