cluster_name	latent_residual_delta_beta	observed_minus_strict_pred_delta_beta	strict_model_delta_beta_8cell_to_morula	abs_latent_residual_delta_beta	signed_latent_residual_direction	PC_loading_norm	PC1_loading	residual_contribution_PC1	PC2_loading	residual_contribution_PC2	PC3_loading	residual_contribution_PC3	residual_alignment_score	abs_residual_alignment_score	module_id	module_index	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr	basin_residual_rank	cpg_per_100bp	residual_direction_label	nearest_gene	distance_to_TSS	gene_type	simple_genomic_context	morula_entry_rank	reset_dynamic_score_x	morula_entry_velocity_x	blastocyst_exit_velocity_x	in_morula_entry_top100	dynamic_reset_rank	reset_dynamic_score_y	morula_entry_velocity_y	blastocyst_exit_velocity_y	in_dynamic_reset_top100	blastocyst_exit_rank	reset_dynamic_score	morula_entry_velocity	blastocyst_exit_velocity	in_blastocyst_exit_top100	latent_loading_rank	latent_loading_norm	in_latent_loading_top100
cluster_2623	-0.1966477625952775	-0.0613144088378704	0.0613144088378704	0.1966477625952775	-1.0	0.2880882000316785	0.0277110451522805	-0.0219307561201714	0.1260602623647947	-0.0042669444185453	0.2575572154426659	-0.4938683407378922	0.0120573413128193	0.0120573413128193	M05	5	age_DMR	age_DMR	cluster_2623	chr15	37190548	37190694	147	2	0.033252448	1	1.3605442176870748	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model					False					False					False	1.0	0.2880882000316785	True
cluster_6262	-0.1912454605053165	-0.2232955999872511	0.147201323892975	0.1912454605053165	-1.0	0.22489344098978	0.1632347683861509	-0.1291853799139269	0.0278581852184817	-0.0009429563741888	0.1521689577623375	-0.2917853827264619	0.0427042698483727	0.0427042698483727	M10	10	age_DMR	age_DMR	cluster_6262	chr6	31628935	31629199	265	3	-0.037492605	2	1.1320754716981132	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	72.0	7.249839919778511	-0.4565656565656565	1.4	True	47.0	7.249839919778511	-0.4565656565656565	1.4	True	42.0	7.249839919778511	-0.4565656565656565	1.4	True	7.0	0.22489344098978	True
cluster_6892	-0.1797887109823562	-0.1013730936894064	0.056928649244962	0.1797887109823562	-1.0	0.2732296217193122	0.0275610449749262	-0.021812044707828	0.1644978423539801	-0.0055679969018618	0.2164145901866453	-0.4149769766040267	0.018225737842712	0.018225737842712	M05	5	age_DMR	age_DMR	cluster_6892	chr7	37947051	37947061	11	2	0.024035571	3	18.181818181818183	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	100.0	3.079536297905397	-0.2666666666666667	0.0	True					False					False	2.0	0.2732296217193122	True
cluster_5678	-0.1645691559665318	0.2892455965286077	0.355229971476372	0.1645691559665318	-1.0	0.2093552302740935	0.1117771941195308	-0.0884614192846764	0.0603234870188668	-0.0020418565011191	0.1664227996152211	-0.3191172562013519	-0.047600903687749	0.047600903687749	M10	10	age_DMR	age_DMR	cluster_5678	chr4	186425697	186425754	58	3	0.066265623	4	5.172413793103448	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	10.0	14.384307165433562	3.866853408029879	0.7223529411764704	True	30.0	14.384307165433562	3.866853408029879	0.7223529411764704	True	62.0	14.384307165433562	3.866853408029879	0.7223529411764704	True	12.0	0.2093552302740935	True
cluster_3275	-0.1422064863349969	-0.0982214121186156	0.0315547454519489	0.1422064863349969	-1.0	0.2647480243480902	0.0079145450620712	-0.0062636380766066	0.1376428889653156	-0.004658998369553	0.2260161752838924	-0.4333881047577504	0.01396772190025	0.01396772190025	M05	5	age_DMR	age_DMR	cluster_3275	chr17	10421635	10422077	443	3	0.045068689	5	0.6772009029345373	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	78.0	5.106794822934756	-0.4	0.6000000000000001	True	73.0	5.106794822934756	-0.4	0.6000000000000001	True	70.0	5.106794822934756	-0.4	0.6000000000000001	True	3.0	0.2647480243480902	True
cluster_4373	-0.1361948309072878	-0.433864336909323	-0.038146245101259	0.1361948309072878	-1.0	0.1889114726963323	0.1149454232445261	-0.090968782680437	0.0440881445559217	-0.0014923153324282	0.1432875769250426	-0.274755252896717	0.0590900800020678	0.0590900800020678	M01	1	age_DMR	age_DMR	cluster_4373	chr2	49382159	49382401	243	3	0.049797989	6	1.2345679012345678	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	21.0	21.81466721349951	-2.832063492063493	3.0	True	14.0	21.81466721349951	-2.832063492063493	3.0	True	16.0	21.81466721349951	-2.832063492063493	3.0	True	24.0	0.1889114726963323	True
cluster_4141	-0.1345314971598012	-0.3230115427412088	-0.1695810498513836	0.1345314971598012	-1.0	0.2111363148294087	0.07322648482591	-0.0579520610438724	0.0994110778807558	-0.0033649108446035	0.1712713138688738	-0.3284143270886106	0.0434552264448719	0.0434552264448719	M05	5	age_DMR	age_DMR	cluster_4141	chr19	51858208	51858276	69	2	-0.044835746	7	2.8985507246376816	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	18.0	13.607174005663753	-2.9555555555555557	0.0	True	31.0	13.607174005663753	-2.9555555555555557	0.0	True					False	10.0	0.2111363148294087	True
cluster_7042	-0.1297927692615848	0.0535308737787312	0.0603580151101576	0.1297927692615848	-1.0	0.2426501263390196	0.0299588367363791	-0.0237096774408558	0.1059008754610605	-0.0035845804299534	0.21625576637474	-0.4146724304769826	-0.0069479203487338	0.0069479203487338	M05	5	age_DMR	age_DMR	cluster_7042	chr7	108168130	108168721	592	3	0.0377521	8	0.5067567567567568	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	61.0	6.28944826620258	0.6833333333333333	-0.6576923076923077	True	56.0	6.28944826620258	0.6833333333333333	-0.6576923076923077	True	66.0	6.28944826620258	0.6833333333333333	-0.6576923076923077	True	4.0	0.2426501263390196	True
cluster_4605	-0.1245572055941755	0.0665854994779426	0.0334145005220573	0.1245572055941755	-1.0	0.2110846260673856	0.1782155143224307	-0.141041269282999	0.0664236486086159	-0.0022483375123381	0.0915633590598259	-0.1755735871485629	-0.0082937037480649	0.0082937037480649	M01	1	age_DMR	age_DMR	cluster_4605	chr2	227288327	227288518	192	2	0.049177448	9	1.0416666666666667	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	64.0	5.08230633293754	0.5999999999999999	-0.5400000000000001	True	74.0	5.08230633293754	0.5999999999999999	-0.5400000000000001	True	76.0	5.08230633293754	0.5999999999999999	-0.5400000000000001	True	11.0	0.2110846260673856	True
cluster_6498	0.1233684733597841	0.6839411513095702	-0.1839411513095702	0.1233684733597841	1.0	0.2341773019090066	0.0561488922410204	-0.0444367094560583	-0.0097626123282461	0.0003304492899109	-0.2271365272914435	0.435536390085578	0.0843767757049948	0.0843767757049948	M12	12	age_DMR	age_DMR	cluster_6498	chr6	132931714	132931736	23	2	0.017322151	10	8.695652173913043	positive_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	16.0	31.24006557402158	3.0	-5.828571428571429	True	6.0	31.24006557402158	3.0	-5.828571428571429	True	4.0	31.24006557402158	3.0	-5.828571428571429	True	6.0	0.2341773019090066	True
cluster_2743	-0.1179709977870684	-0.1202883536470436	0.0647327980914881	0.1179709977870684	-1.0	0.2074601245869989	0.1609418409506492	-0.1273707376976949	0.0689851059148581	-0.0023350388704915	0.1112586279215451	-0.2133394471979748	0.0141905371019055	0.0141905371019055	M07	7	age_DMR	age_DMR	cluster_2743	chr15	96894342	96894509	168	2	-0.030119887	11	1.1904761904761905	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	93.0	4.248326969198085	-0.3333333333333333	0.6000000000000001	True	88.0	4.248326969198085	-0.3333333333333333	0.6000000000000001	True	72.0	4.248326969198085	-0.3333333333333333	0.6000000000000001	True	13.0	0.2074601245869989	True
cluster_6960	-0.1150872869677093	-0.3775473110042004	-0.0294125655390093	0.1150872869677093	-1.0	0.1791530463718871	0.154407210060636	-0.1221991753983774	-0.0149187207912986	0.0005049755665909	0.089619525080026	-0.1718462675290222	0.0434508957254274	0.0434508957254274	M01	1	age_DMR	age_DMR	cluster_6960	chr7	76828885	76829845	961	3	0.062913074	12	0.3121748178980229	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	25.0	15.73479415083355	-2.4417592592592587	1.549642857142857	True	28.0	15.73479415083355	-2.4417592592592587	1.549642857142857	True	36.0	15.73479415083355	-2.4417592592592587	1.549642857142857	True	30.0	0.1791530463718871	True
cluster_1742	0.1109335240179164	-0.1331750572473411	-0.1327290821862098	0.1109335240179164	1.0	0.1956444230258601	-0.1346038234379437	0.1065266072946086	-0.0093652186295668	0.0003169981293886	-0.1416716049779524	0.2716566117547216	-0.0147735784117353	0.0147735784117353	M08	8	age_DMR	age_DMR	cluster_1742	chr12	11151430	11151622	193	4	0.010894564	13	2.072538860103627	positive_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	38.0	5.888964523226429	-1.5954248366013055	-0.5000000000000001	True	64.0	5.888964523226429	-1.5954248366013055	-0.5000000000000001	True	78.0	5.888964523226429	-1.5954248366013055	-0.5000000000000001	True	18.0	0.1956444230258601	True
cluster_6655	-0.1006123569637234	0.0154228829055978	-0.0706384023935631	0.1006123569637234	-1.0	0.1772966720801987	0.1561227791824495	-0.1235568913492207	0.0150853435827077	-0.0005106154897235	0.0826572450548244	-0.1584960312411775	-0.0015517326003077	0.0015517326003077	M01	1	age_DMR	age_DMR	cluster_6655	chr6	168963358	168963731	374	3	0.116026458	14	0.8021390374331551	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	94.0	3.5006716842033407	-0.3312931169277919	-0.9403867577254674	True	95.0	3.5006716842033407	-0.3312931169277919	-0.9403867577254674	True	50.0	3.5006716842033407	-0.3312931169277919	-0.9403867577254674	True	32.0	0.1772966720801987	True
cluster_4404	-0.0972246935380607	-0.1596365114228725	-0.0716297219788286	0.0972246935380607	-1.0	0.1810374585136711	0.1583179032370319	-0.125294131140431	-0.0514651902376142	0.0017420168902892	0.0711430748107301	-0.1364175033938757	0.0155206109005739	0.0155206109005739	M01	1	age_DMR	age_DMR	cluster_4404	chr2	74607470	74607600	131	4	-0.034161596	15	3.0534351145038165	negative_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	42.0	5.318742342168701	-1.3875974004102074	-0.4605263157894736	True	69.0	5.318742342168701	-1.3875974004102074	-0.4605263157894736	True	81.0	5.318742342168701	-1.3875974004102074	-0.4605263157894736	True	29.0	0.1810374585136711	True
cluster_543	0.0903190284088766	-0.2616224767233678	-0.4661553010544099	0.0903190284088766	1.0	0.1239643738399855	-0.053687263036474	0.0424885552292317	0.0563092209062872	-0.0019059798175211	-0.0965096648534181	0.1850581742173627	-0.0236294879075785	0.0236294879075785	M08	8	age_DMR	age_DMR	cluster_543	chr1	198828060	198828249	190	5	0.018045133	16	2.6315789473684212	positive_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	7.0	20.32149489335273	-4.366666666666667	0.4999999999999999	True	18.0	20.32149489335273	-4.366666666666667	0.4999999999999999	True	79.0	20.32149489335273	-4.366666666666667	0.4999999999999999	True	77.0	0.1239643738399855	True
cluster_4026	0.0834739790170535	0.3758244911517803	0.2508421755148864	0.0834739790170535	1.0	0.1566555696022776	0.0439350543585927	-0.0347705745838848	-0.0943626350471195	0.0031940288825385	-0.1170742140391541	0.2244908873212324	0.0313715656884985	0.0313715656884985	M03	3	age_DMR	age_DMR	cluster_4026	chr19	39806522	39806765	244	2	-0.028841341	17	0.819672131147541	positive_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	11.0	30.06567756504771	3.76	-4.32	True	7.0	30.06567756504771	3.76	-4.32	True	7.0	30.06567756504771	3.76	-4.32	True	47.0	0.1566555696022776	True
cluster_4904	0.079519979974636	-0.2204698686929519	-0.279530131307048	0.079519979974636	1.0	0.148021482007098	-0.0598965756595554	0.0474026578934357	0.0315293395778522	-0.001067219256952	-0.1316383686681861	0.252417788412036	-0.0175317595434741	0.0175317595434741	M12	12	age_DMR	age_DMR	cluster_4904	chr21	31661731	31661998	268	2	0.033716782	18	0.7462686567164178	positive_delta_beta	NA_no_gene_tss_file		NA	unclassified_without_gene_model	17.0	13.019365007505357	-3.0	0.0	True	34.0	13.019365007505357	-3.0	0.0	True					False	54.0	0.148021482007098	True
