dmr_index	cluster_name	chr	start	end	width	basin_residual_rank	module_id	abs_latent_residual_delta_beta	latent_residual_delta_beta	age_weight_5yr	overlap_public_chromatin	WT_meth_reads	WT_total_reads	WT_cpg_count	WT_beta	TET_TKO_meth_reads	TET_TKO_total_reads	TET_TKO_cpg_count	TET_TKO_beta	PKO_TET_DNMT3_meth_reads	PKO_TET_DNMT3_total_reads	PKO_TET_DNMT3_cpg_count	PKO_TET_DNMT3_beta	WT_to_TET_TKO_delta_beta	WT_to_PKO_delta_beta	TET_TKO_to_PKO_delta_beta	abs_WT_to_TET_TKO_delta_beta	abs_WT_to_PKO_delta_beta	abs_TET_TKO_to_PKO_delta_beta
0	cluster_2623	chr15	37190548	37190694	147	1	M05	0.1966477625952775	-0.1966477625952775	0.033252448	False	0.5810000000000001	68.0	3	0.008544117647058825	1.1320000000000001	82.0	3	0.01380487804878049	0.0909	60.0	3	0.0015149999999999999	0.005260760401721664	-0.0070291176470588254	-0.01228987804878049	0.005260760401721664	0.0070291176470588254	0.01228987804878049
1	cluster_6262	chr6	31628935	31629199	265	2	M10	0.1912454605053165	-0.1912454605053165	-0.037492605	True	1.5779999999999998	65.0	3	0.024276923076923074	2.0220000000000002	65.0	3	0.031107692307692312	0.887	36.0	3	0.02463888888888889	0.0068307692307692375	0.0003619658119658163	-0.006468803418803421	0.0068307692307692375	0.0003619658119658163	0.006468803418803421
2	cluster_6892	chr7	37947051	37947061	11	3	M05	0.1797887109823562	-0.1797887109823562	0.024035571	True	1.729	59.0	2	0.029305084745762714	1.613	78.0	2	0.02067948717948718	1.6509999999999998	23.0	2	0.07178260869565216	-0.008625597566275536	0.04247752394988945	0.05110312151616498	0.008625597566275536	0.04247752394988945	0.05110312151616498
3	cluster_5678	chr4	186425697	186425754	58	4	M10	0.16456915596653188	-0.16456915596653188	0.066265623	True	6.258000000000001	127.0	7	0.04927559055118111	6.526	228.0	7	0.02862280701754386	6.818	75.0	7	0.09090666666666666	-0.02065278353363725	0.041631076115485555	0.06228385964912281	0.02065278353363725	0.041631076115485555	0.06228385964912281
4	cluster_3275	chr17	10421635	10422077	443	5	M05	0.1422064863349969	-0.1422064863349969	0.045068689	True	6.109	247.0	7	0.024732793522267208	6.318	187.0	7	0.03378609625668449	5.6770000000000005	136.0	7	0.04174264705882353	0.00905330273441728	0.017009853536556322	0.007956550802139042	0.00905330273441728	0.017009853536556322	0.007956550802139042
5	cluster_4373	chr2	49382159	49382401	243	6	M01	0.13619483090728782	-0.13619483090728782	0.049797989	True	3.77	125.0	5	0.03016	4.111	166.0	5	0.024765060240963855	3.795	76.0	5	0.04993421052631579	-0.005394939759036144	0.01977421052631579	0.025169150285351934	0.005394939759036144	0.01977421052631579	0.025169150285351934
6	cluster_4141	chr19	51858208	51858276	69	7	M05	0.13453149715980126	-0.13453149715980126	-0.044835746	True	1.655	93.0	4	0.017795698924731183	3.346	114.0	4	0.029350877192982457	2.707	80.0	4	0.0338375	0.011555178268251275	0.016041801075268817	0.004486622807017542	0.011555178268251275	0.016041801075268817	0.004486622807017542
7	cluster_7042	chr7	108168130	108168721	592	8	M05	0.12979276926158487	-0.12979276926158487	0.0377521	True	8.941	230.0	10	0.038873913043478266	8.808	319.0	10	0.027611285266457678	8.824	200.0	10	0.04412	-0.011262627777020588	0.005246086956521734	0.01650871473354232	0.011262627777020588	0.005246086956521734	0.01650871473354232
8	cluster_4605	chr2	227288327	227288518	192	9	M01	0.12455720559417552	-0.12455720559417552	0.049177448	True	2.586	74.0	3	0.034945945945945946	2.378	96.0	3	0.024770833333333336	2.48	38.0	3	0.06526315789473684	-0.01017511261261261	0.030317211948790897	0.0404923245614035	0.01017511261261261	0.030317211948790897	0.0404923245614035
9	cluster_6498	chr6	132931714	132931736	23	10	M12	0.12336847335978415	0.12336847335978415	0.017322151	True	2.6580000000000004	42.0	3	0.06328571428571429	2.7110000000000003	124.0	3	0.021862903225806453	2.4509999999999996	41.0	3	0.05978048780487804	-0.04142281105990784	-0.003505226480836253	0.037917584579071587	0.04142281105990784	0.003505226480836253	0.037917584579071587
