cluster_name	latent_residual_delta_beta	observed_minus_strict_pred_delta_beta	strict_model_delta_beta_8cell_to_morula	abs_latent_residual_delta_beta	signed_latent_residual_direction	PC_loading_norm	PC1_loading	residual_contribution_PC1	PC2_loading	residual_contribution_PC2	PC3_loading	residual_contribution_PC3	residual_alignment_score	abs_residual_alignment_score	module_id	module_index	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr	basin_residual_rank
cluster_2623	-0.1966477625952775	-0.0613144088378704	0.0613144088378704	0.1966477625952775	-1.0	0.28808820003167857	0.027711045152280567	-0.02193075612017144	0.12606026236479478	-0.004266944418545365	0.2575572154426659	-0.4938683407378922	0.012057341312819323	0.012057341312819323	M05	5	age_DMR	age_DMR	cluster_2623	chr15	37190548	37190694	147	2	0.033252448	1
cluster_6262	-0.1912454605053165	-0.22329559998725115	0.14720132389297508	0.1912454605053165	-1.0	0.22489344098978	0.16323476838615095	-0.1291853799139269	0.027858185218481723	-0.0009429563741888622	0.15216895776233758	-0.2917853827264619	0.04270426984837279	0.04270426984837279	M10	10	age_DMR	age_DMR	cluster_6262	chr6	31628935	31629199	265	3	-0.037492605	2
cluster_6892	-0.17978871098235621	-0.10137309368940645	0.056928649244962	0.17978871098235621	-1.0	0.2732296217193122	0.027561044974926265	-0.021812044707828014	0.16449784235398013	-0.005567996901861862	0.2164145901866453	-0.4149769766040267	0.018225737842712014	0.018225737842712014	M05	5	age_DMR	age_DMR	cluster_6892	chr7	37947051	37947061	11	2	0.024035571	3
cluster_5678	-0.16456915596653188	0.28924559652860776	0.35522997147637203	0.16456915596653188	-1.0	0.20935523027409356	0.11177719411953087	-0.08846141928467648	0.060323487018866806	-0.0020418565011191938	0.16642279961522116	-0.3191172562013519	-0.047600903687749004	0.047600903687749004	M10	10	age_DMR	age_DMR	cluster_5678	chr4	186425697	186425754	58	3	0.066265623	4
cluster_3275	-0.1422064863349969	-0.09822141211861564	0.03155474545194897	0.1422064863349969	-1.0	0.26474802434809025	0.007914545062071258	-0.006263638076606693	0.13764288896531565	-0.0046589983695530844	0.22601617528389248	-0.4333881047577504	0.013967721900250016	0.013967721900250016	M05	5	age_DMR	age_DMR	cluster_3275	chr17	10421635	10422077	443	3	0.045068689	5
cluster_4373	-0.13619483090728782	-0.433864336909323	-0.03814624510125908	0.13619483090728782	-1.0	0.18891147269633235	0.11494542324452614	-0.090968782680437	0.04408814455592173	-0.0014923153324282522	0.14328757692504265	-0.27475525289671704	0.0590900800020678	0.0590900800020678	M01	1	age_DMR	age_DMR	cluster_4373	chr2	49382159	49382401	243	3	0.049797989	6
cluster_4141	-0.13453149715980126	-0.32301154274120886	-0.16958104985138367	0.13453149715980126	-1.0	0.21113631482940876	0.07322648482591008	-0.05795206104387243	0.0994110778807558	-0.0033649108446035724	0.1712713138688738	-0.3284143270886106	0.04345522644487196	0.04345522644487196	M05	5	age_DMR	age_DMR	cluster_4141	chr19	51858208	51858276	69	2	-0.044835746	7
cluster_7042	-0.12979276926158487	0.05353087377873125	0.060358015110157634	0.12979276926158487	-1.0	0.24265012633901964	0.029958836736379117	-0.02370967744085581	0.10590087546106053	-0.0035845804299534435	0.21625576637474	-0.4146724304769826	-0.006947920348733889	0.006947920348733889	M05	5	age_DMR	age_DMR	cluster_7042	chr7	108168130	108168721	592	3	0.0377521	8
cluster_4605	-0.12455720559417552	0.06658549947794262	0.033414500522057355	0.12455720559417552	-1.0	0.21108462606738565	0.17821551432243077	-0.14104126928299907	0.06642364860861591	-0.0022483375123381103	0.09156335905982596	-0.17557358714856292	-0.008293703748064965	0.008293703748064965	M01	1	age_DMR	age_DMR	cluster_4605	chr2	227288327	227288518	192	2	0.049177448	9
cluster_6498	0.12336847335978415	0.6839411513095702	-0.18394115130957023	0.12336847335978415	1.0	0.2341773019090066	0.05614889224102046	-0.04443670945605836	-0.009762612328246163	0.00033044928991093133	-0.22713652729144354	0.435536390085578	0.08437677570499481	0.08437677570499481	M12	12	age_DMR	age_DMR	cluster_6498	chr6	132931714	132931736	23	2	0.017322151	10
cluster_2743	-0.11797099778706846	-0.12028835364704368	0.06473279809148813	0.11797099778706846	-1.0	0.20746012458699892	0.16094184095064926	-0.12737073769769497	0.06898510591485815	-0.0023350388704915974	0.11125862792154519	-0.21333944719797482	0.0141905371019055	0.0141905371019055	M07	7	age_DMR	age_DMR	cluster_2743	chr15	96894342	96894509	168	2	-0.030119887	11
cluster_6960	-0.11508728696770937	-0.3775473110042004	-0.02941256553900934	0.11508728696770937	-1.0	0.1791530463718871	0.15440721006063604	-0.12219917539837748	-0.01491872079129866	0.0005049755665909694	0.08961952508002605	-0.17184626752902224	0.04345089572542743	0.04345089572542743	M01	1	age_DMR	age_DMR	cluster_6960	chr7	76828885	76829845	961	3	0.062913074	12
cluster_1742	0.1109335240179164	-0.13317505724734113	-0.13272908218620982	0.1109335240179164	1.0	0.19564442302586016	-0.13460382343794372	0.10652660729460862	-0.009365218629566853	0.00031699812938868946	-0.14167160497795245	0.2716566117547216	-0.014773578411735308	0.014773578411735308	M08	8	age_DMR	age_DMR	cluster_1742	chr12	11151430	11151622	193	4	0.010894564	13
cluster_6655	-0.10061235696372343	0.015422882905597846	-0.07063840239356317	0.10061235696372343	-1.0	0.17729667208019878	0.15612277918244954	-0.12355689134922072	0.015085343582707788	-0.0005106154897235122	0.0826572450548244	-0.15849603124117756	-0.0015517326003077186	0.0015517326003077186	M01	1	age_DMR	age_DMR	cluster_6655	chr6	168963358	168963731	374	3	0.116026458	14
cluster_4404	-0.09722469353806078	-0.15963651142287255	-0.07162972197882866	0.09722469353806078	-1.0	0.1810374585136711	0.1583179032370319	-0.12529413114043103	-0.05146519023761429	0.0017420168902892255	0.07114307481073019	-0.1364175033938757	0.015520610900573922	0.015520610900573922	M01	1	age_DMR	age_DMR	cluster_4404	chr2	74607470	74607600	131	4	-0.034161596	15
cluster_543	0.0903190284088766	-0.2616224767233678	-0.46615530105440994	0.0903190284088766	1.0	0.12396437383998558	-0.05368726303647403	0.04248855522923172	0.05630922090628725	-0.0019059798175211538	-0.09650966485341814	0.1850581742173627	-0.023629487907578513	0.023629487907578513	M08	8	age_DMR	age_DMR	cluster_543	chr1	198828060	198828249	190	5	0.018045133	16
cluster_4026	0.08347397901705352	0.3758244911517803	0.2508421755148864	0.08347397901705352	1.0	0.15665556960227764	0.04393505435859276	-0.03477057458388488	-0.09436263504711957	0.0031940288825385355	-0.11707421403915412	0.2244908873212324	0.03137156568849852	0.03137156568849852	M03	3	age_DMR	age_DMR	cluster_4026	chr19	39806522	39806765	244	2	-0.028841341	17
cluster_4904	0.07951997997463606	-0.2204698686929519	-0.27953013130704807	0.07951997997463606	1.0	0.14802148200709805	-0.059896575659555425	0.04740265789343575	0.03152933957785225	-0.0010672192569520607	-0.13163836866818612	0.252417788412036	-0.017531759543474176	0.017531759543474176	M12	12	age_DMR	age_DMR	cluster_4904	chr21	31661731	31661998	268	2	0.033716782	18
cluster_6651	-0.07784538965855078	-0.07383800124525663	-0.06292149007563819	0.07784538965855078	-1.0	0.17492164106270694	0.1552039818434537	-0.12282974734383764	0.050728850789872645	-0.0017170929417129179	0.06273665778112676	-0.1202981210545943	0.005747947978545561	0.005747947978545561	M01	1	age_DMR	age_DMR	cluster_6651	chr6	168867541	168867685	145	3	0.028197967	19
cluster_5923	0.0774541554875099	-0.21327507160262552	-0.16388542222453487	0.0774541554875099	1.0	0.15149176171046838	-0.03217472472246694	0.02546334998353544	0.06309381616499862	-0.002135627847187104	-0.13391680744743045	0.25678671582664675	-0.016519040557519564	0.016519040557519564	M09	9	age_DMR	age_DMR	cluster_5923	chr5	120191823	120192115	293	2	0.033485903	20
cluster_242	0.07736259075217462	-0.012828975048512214	-0.19911937874194696	0.07736259075217462	1.0	0.20447123120166907	0.1204840596060148	-0.0953521064639546	-0.0807799363940376	0.002734275593759585	-0.14410648023651096	0.2763255075640713	-0.00099248274644791	0.00099248274644791	M01	1	age_DMR	age_DMR	cluster_242	chr1	33231070	33231109	40	2	-0.017895363	21
cluster_6087	-0.07473464492067426	0.4452380336659061	0.04587307744520508	0.07473464492067426	-1.0	0.15544868384625343	0.1295933151226095	-0.10256124852528618	0.06287817902558922	-0.002128328864373857	0.058448272750274116	-0.11207510312829641	-0.0332747063512007	0.0332747063512007	M10	10	age_DMR	age_DMR	cluster_6087	chr6	2437142	2437147	6	2	0.055167825	22
cluster_6495	0.07461082849874705	-0.20503253105920716	-0.03866951852519529	0.07461082849874705	1.0	0.15769411080267004	-0.056216107094174406	0.04448990386081906	0.06034927627591489	-0.0020427294274827875	-0.13440664692638674	0.2577259875542288	-0.015297647011522532	0.015297647011522532	M09	9	age_DMR	age_DMR	cluster_6495	chr6	130182053	130182551	499	6	0.010966867	23
cluster_7072	-0.07313538531657726	-0.48750414226647104	-0.13571927753623275	0.07313538531657726	-1.0	0.15201340205897493	0.1458155691746288	-0.11539967794500872	-0.01775395844913413	0.0006009439651362772	0.039124048246686166	-0.07502072406448028	0.03565380328808586	0.03565380328808586	M01	1	age_DMR	age_DMR	cluster_7072	chr7	132435910	132436239	330	2	0.082616718	24
cluster_2190	0.07108962890199759	-0.17727269337569376	-0.1782828621798618	0.07108962890199759	1.0	0.1591115694154581	-0.04810203538840714	0.03806835870642705	0.06057428087703186	-0.0020503454843501354	-0.1390447489464202	0.26661959103907035	-0.012602249986535675	0.012602249986535675	M12	12	age_DMR	age_DMR	cluster_2190	chr13	58299015	58299073	59	2	0.067321522	25
cluster_587	-0.06936499188912126	0.3273820336421468	0.07632167006155688	0.06936499188912126	-1.0	0.21591730906148923	-0.0044242250611157465	0.0035013692303155486	0.1856130037053398	-0.006282712373531629	0.11022034041158087	-0.21134852130264067	-0.022708852108231536	0.022708852108231536	M05	5	age_DMR	age_DMR	cluster_587	chr1	213122829	213123025	197	2	-0.017575416	26
cluster_125	-0.06392871898753896	-0.14792646439301052	0.01659384639372588	0.06392871898753896	-1.0	0.2033748686770908	0.2033260645404944	-0.16091397166031632	0.0032686018884233586	-0.0001106371057986144	-0.0030273634723345377	0.005804997434541632	0.009456749373000959	0.009456749373000959	M07	7	age_DMR	age_DMR	cluster_125	chr1	6529710	6530205	496	2	-0.020406298	27
cluster_5002	-0.06206678272947911	-0.3262877823532926	-0.06924258592957322	0.06206678272947911	-1.0	0.17155436735981738	0.16960016341123685	-0.13422300751463914	-0.01970632076487086	0.0006670284022922454	0.016683718201316946	-0.03199118382787904	0.020251632894605378	0.020251632894605378	M01	1	age_DMR	age_DMR	cluster_5002	chr22	26829758	26830041	284	3	0.073881417	28
